source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
CaseID,double,numeric,float64,Case ID,F11.0,,,TRUE,Retained
weight,double,numeric,float64,Weight,F4.3,,,TRUE,Retained
POST_Q33_readers,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Amount of briefing materials read by fourth week,F3.0,998|999,,TRUE,Retained
POST_Q34_readers,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,POST - Evaluation of balanced positions in briefing materials,F3.0,998|999,,TRUE,Retained
group,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Treatment group,F11.0,-8|-9,,TRUE,Retained
screenname,character,character,,Screen name,A20,,,FALSE,Excluded; see source_field_exclusions
Sgroup,character,character,string,Discussion group name,A3,,,TRUE,Retained
S1,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Discussion group time - Week 1,F2.0,99,,TRUE,Retained
S2,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Discussion group time - Week 2,F2.0,99,,TRUE,Retained
S3,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Discussion group time - Week 3,F2.0,99,,TRUE,Retained
S4,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Discussion group time - Week 4,F2.0,99,,TRUE,Retained
mod1,character,character,,Week 1 moderator,A12,,,FALSE,Excluded; see source_field_exclusions
mod2,character,character,,Week 2 moderator,A12,,,FALSE,Excluded; see source_field_exclusions
mod3,character,character,,Week 3 moderator,A12,,,FALSE,Excluded; see source_field_exclusions
mod4,character,character,,Week 4 moderator,A12,,,FALSE,Excluded; see source_field_exclusions
w1visit,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of visits to Week 1 readings,F1.0,99,,TRUE,Retained
w2visit,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of visits to Week 2 readings,F1.0,99,,TRUE,Retained
w3visit,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of visits to Week 3 readings,F1.0,99,,TRUE,Retained
w4visit,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of visits to Week 4 readings,F1.0,99,,TRUE,Retained
w1time,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on Week 1 readings (seconds),F8.2,9999999999,,TRUE,Retained
w2time,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on Week 2 readings (seconds),F8.2,9999999999,,TRUE,Retained
w3time,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on Week 3 readings (seconds),F8.2,9999999999,,TRUE,Retained
w4time,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on Week 4 readings (seconds),F8.2,9999999999,,TRUE,Retained
discuss1,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of days visited group bulletin board in Week 1,F1.0,99,,TRUE,Retained
discuss2,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of days visited group bulletin board in Week 2,F1.0,99,,TRUE,Retained
discuss3,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of days visited group bulletin board in Week 3,F1.0,99,,TRUE,Retained
discuss4,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of days visited group bulletin board in Week 4,F1.0,99,,TRUE,Retained
dtime1,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on group bulletin board in Week 1 (seconds),F8.2,9999999999,,TRUE,Retained
dtime2,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on group bulletin board in Week 2 (seconds),F8.2,9999999999,,TRUE,Retained
dtime3,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on group bulletin board in Week 3 (seconds),F8.2,9999999999,,TRUE,Retained
dtime4,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Amount of time spent on group bulletin board in Week 4 (seconds),F8.2,9999999999,,TRUE,Retained
post,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Number of posts made to group bulletin board,F1.0,99,,TRUE,Retained
birthyr,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Birth year,F4.0,9998|9999,,TRUE,Retained
gender,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Gender,F1.0,8|9,,TRUE,Retained
pid7,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,7 point Party ID,F1.0,8|9,,TRUE,Retained
pid3,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,3 point Party ID,F1.0,8|9,,TRUE,Retained
race,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Race,F2.0,98|99,,TRUE,Retained
race_other,character,character,,Race - Other,A255,,,FALSE,Excluded; see source_field_exclusions
educ,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Education,F1.0,8|9,,TRUE,Retained
marstat,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Martial Status,F1.0,8|9,,TRUE,Retained
ideo5,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Ideology,F1.0,8|9,,TRUE,Retained
churatd,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Church attendance,F1.0,8|9,,TRUE,Retained
religion,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Religious preference,F1.0,8|9,,TRUE,Retained
rm1,character,character,,Religion - Protestant,A255,,,FALSE,Excluded; see source_field_exclusions
rm2,character,character,,Religion - Other Christian,A255,,,FALSE,Excluded; see source_field_exclusions
rm3,character,character,,Religion - Other,A255,,,FALSE,Excluded; see source_field_exclusions
polinterest,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Level of interest in politics,F1.0,8|9,,TRUE,Retained
income,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Family income,F2.0,98|99,,TRUE,Retained
inputstate,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,State of residence,F3.0,998|999,,TRUE,Retained
votereg,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,float64,Voter registration status,F1.0,8|9,,TRUE,Retained
PRE_starttime,double,POSIXct|POSIXt,float64,PRE - Interview Start Time,DATETIME23.2,,,TRUE,Retained
PRE_endtime,double,POSIXct|POSIXt,float64,PRE - Interview End Time,DATETIME23.2,,,TRUE,Retained
POST_starttime,double,POSIXct|POSIXt,float64,POST - Interview Start Time,DATETIME23.2,,,TRUE,Retained
POST_endtime,double,POSIXct|POSIXt,float64,POST - Interview End Time,DATETIME23.2,,,TRUE,Retained
PRE_Q1r,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q1r,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q2xr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q2xr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q3xr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q3xr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q4ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q4ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q4br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q4br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q4cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q4cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q4dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q4dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q5ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q5ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q5br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q5br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q5cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q5cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q5dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q5dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q5er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q5er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q6ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q6ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q6br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q6br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q6cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q6cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q6dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q6dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q6er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q6er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q7xr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q7xr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q8ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q8ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q8br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q8br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q8cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q8cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q8dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q8dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q9ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q9ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q9br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q9br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q9cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q9cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q9dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q9dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q9er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q9er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q10ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q10ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q10br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q10br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q10cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q10cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q10dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q10dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q10er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q10er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11fr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11fr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q11gr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q11gr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q12ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q12ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q12br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q12br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q12cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q12cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q12dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q12dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q13ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q13ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q13br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q13br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q13cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q13cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q13dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q13dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q14xr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q14xr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q15ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q15ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q15br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q15br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q16ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q16ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q16br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q16cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q16dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q16dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q17ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q17ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q17br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q17br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q17cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q17cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q17dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q17dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q17er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q17er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q18ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q18ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q18br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q18br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q18cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q18cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q18dr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q18dr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q18er,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q18er,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q18fr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q18fr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q27ar,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q27ar,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q27br,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q27br,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q27cr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q27cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q28r,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q28r,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q29r,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q29r,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q30r,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q30x_readersr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q30a_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q30b_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q30c_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q30d_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q31a_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q31b_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q31c_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q31d_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q31e_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q31f_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q32_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q33_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q32_readersr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q33_readersr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q34_groupsr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q34_readersr,double,numeric,float64,,F8.2,,,TRUE,Retained
POST_Q16br,double,numeric,float64,,F8.2,,,TRUE,Retained
filter_$,double,haven_labelled|vctrs_vctr|double,float64,group =1 (FILTER),F1.0,,,TRUE,Retained
POST_Q16cr,double,numeric,float64,,F8.2,,,TRUE,Retained
PRE_Q19COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q19,F8.2,,,TRUE,Retained
PRE_Q20COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q20,F8.2,,,TRUE,Retained
PRE_Q21COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q21,F8.2,,,TRUE,Retained
PRE_Q22COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q22,F8.2,,,TRUE,Retained
PRE_Q23COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q23,F8.2,,,TRUE,Retained
PRE_Q24COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q24,F8.2,,,TRUE,Retained
PRE_Q25COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q25,F8.2,,,TRUE,Retained
PRE_Q26COR,double,numeric,float64,CORRECT OR INCORRECT ON PRE_Q26,F8.2,,,TRUE,Retained
POST_Q19COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q19,F8.2,,,TRUE,Retained
POST_Q20COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q20,F8.2,,,TRUE,Retained
POST_Q21COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q21,F8.2,,,TRUE,Retained
POST_Q22COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q22,F8.2,,,TRUE,Retained
POST_Q23COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q23,F8.2,,,TRUE,Retained
POST_Q24COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q24,F8.2,,,TRUE,Retained
POST_Q25COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q25,F8.2,,,TRUE,Retained
POST_Q26COR,double,numeric,float64,CORRECT OR INCORRECT ON POST_Q26,F8.2,,,TRUE,Retained
Side5dChange5,double,numeric,float64,,F8.2,,,TRUE,Retained
Side6dChange5,double,numeric,float64,,F8.2,,,TRUE,Retained
Side8dChange5,double,numeric,float64,,F8.2,,,TRUE,Retained
