source_row,caseid,historical_sample,group,baseline_raw,post_raw,historical_item,candidate_item,baseline_knowledge,historical_post_knowledge,candidate_post_knowledge,historical_joint_knowledge,candidate_joint_knowledge
35,6313,FALSE,NA,5,NA,1,0,0.6,0.06666666666666667,0,0.06666666666666667,0
36,2506,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
37,5213,FALSE,NA,6,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
38,5721,FALSE,NA,7,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
39,810,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
40,3823,FALSE,NA,6,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
41,5604,FALSE,NA,7,NA,1,0,0.33333333532015486,0.06666666666666667,0,0.06666666666666667,0
42,3204,FALSE,NA,6,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
43,7605,FALSE,NA,1,NA,0,0,0.2666666686534882,0,0,0,0
44,3407,FALSE,NA,6,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
45,815,FALSE,NA,-9,NA,0,0,0.06666666865348816,0,0,0,0
46,1713,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
47,6607,FALSE,NA,4,NA,0,0,0.26666666666666666,0,0,0,0
48,6623,FALSE,NA,1,NA,0,0,0.33333333730697634,0,0,0,0
49,9017,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
50,6805,FALSE,NA,6,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
51,6111,FALSE,NA,4,NA,0,0,0.06666666865348816,0,0,0,0
52,6216,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
53,6102,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
54,1821,FALSE,NA,7,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
55,6615,FALSE,NA,-8,NA,0,0,0,0,0,0,0
56,7011,FALSE,NA,6,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
57,6514,FALSE,NA,4,NA,0,0,0.13333333333333333,0,0,0,0
58,2413,FALSE,NA,6,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
59,1718,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
60,1819,FALSE,NA,7,NA,1,0,0.8666666686534882,0.06666666666666667,0,0.06666666666666667,0
61,6716,FALSE,NA,-8,NA,0,0,0.2666666706403097,0,0,0,0
62,1218,FALSE,NA,-8,NA,0,0,0.4,0,0,0,0
63,1102,FALSE,NA,4,NA,0,0,0.13333333730697633,0,0,0,0
64,3125,FALSE,NA,3,NA,0,0,0.2666666686534882,0,0,0,0
65,6618,FALSE,NA,-8,NA,0,0,0.3333333333333333,0,0,0,0
66,8022,FALSE,NA,7,NA,1,0,0.46666667064030964,0.06666666666666667,0,0.06666666666666667,0
67,1003,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
68,8901,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
69,2719,FALSE,NA,5,NA,1,0,0.3333333333333333,0.06666666666666667,0,0.06666666666666667,0
70,3016,FALSE,NA,-8,NA,0,0,0,0,0,0,0
71,2522,FALSE,NA,7,NA,1,0,0.6666666666666667,0.06666666666666667,0,0.06666666666666667,0
72,1002,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
73,8403,FALSE,NA,7,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
74,425,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
75,2714,FALSE,NA,7,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
76,7403,FALSE,NA,1,NA,0,0,0.2000000019868215,0,0,0,0
77,5504,FALSE,NA,7,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
78,5311,FALSE,NA,6,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
79,1214,FALSE,NA,6,NA,1,0,0.3333333333333333,0.06666666666666667,0,0.06666666666666667,0
80,1413,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
81,2401,FALSE,NA,6,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
82,5301,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
83,5809,FALSE,NA,5,NA,1,0,0.6666666686534881,0.06666666666666667,0,0.06666666666666667,0
84,4112,FALSE,NA,6,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
85,8911,FALSE,NA,7,NA,1,0,0.8666666666666667,0.06666666666666667,0,0.06666666666666667,0
86,3806,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
87,5619,FALSE,NA,-8,NA,0,0,0.4000000019868215,0,0,0,0
88,3011,FALSE,NA,5,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
89,6114,FALSE,NA,6,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
90,5412,FALSE,NA,7,NA,1,0,0.7333333373069764,0.06666666666666667,0,0.06666666666666667,0
91,8112,FALSE,NA,3,NA,0,0,0.2000000019868215,0,0,0,0
92,3714,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
93,8517,FALSE,NA,6,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
94,5909,FALSE,NA,6,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
95,814,FALSE,NA,7,NA,1,0,0.6,0.06666666666666667,0,0.06666666666666667,0
96,205,FALSE,NA,6,NA,1,0,0.13333333333333333,0.06666666666666667,0,0.06666666666666667,0
97,1505,FALSE,NA,3,NA,0,0,0.2,0,0,0,0
98,3807,FALSE,NA,-8,NA,0,0,0,0,0,0,0
99,5105,FALSE,NA,1,NA,0,0,0.5333333373069764,0,0,0,0
100,5302,FALSE,NA,1,NA,0,0,0.5333333353201548,0,0,0,0
101,3424,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
102,7819,FALSE,NA,6,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
103,7823,FALSE,NA,4,NA,0,0,0.46666666865348816,0,0,0,0
104,5607,FALSE,NA,7,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
105,1020,FALSE,NA,4,NA,0,0,0.06666666666666667,0,0,0,0
106,7103,FALSE,NA,6,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
107,5503,FALSE,NA,-8,NA,0,0,0.06666666865348816,0,0,0,0
108,6907,FALSE,NA,-8,NA,0,0,0.13333333532015484,0,0,0,0
109,1519,FALSE,NA,6,NA,1,0,0.7333333373069764,0.06666666666666667,0,0.06666666666666667,0
110,2621,FALSE,NA,5,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
111,3325,FALSE,NA,6,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
112,7202,FALSE,NA,7,NA,1,0,0.13333333532015484,0.06666666666666667,0,0.06666666666666667,0
113,4225,FALSE,NA,6,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
114,6406,FALSE,NA,7,NA,1,0,0.33333333532015486,0.06666666666666667,0,0.06666666666666667,0
115,503,FALSE,NA,-8,NA,0,0,0.2000000019868215,0,0,0,0
116,801,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
117,1010,FALSE,NA,6,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
118,6810,FALSE,NA,4,NA,0,0,0.2,0,0,0,0
119,8715,FALSE,NA,4,NA,0,0,0.2666666686534882,0,0,0,0
120,8824,FALSE,NA,7,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
121,8211,FALSE,NA,5,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
122,4320,FALSE,NA,7,NA,1,0,0.7333333333333334,0.06666666666666667,0,0.06666666666666667,0
123,2109,FALSE,NA,7,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
124,6407,FALSE,NA,7,NA,1,0,0.9333333333333333,0.06666666666666667,0,0.06666666666666667,0
125,8305,FALSE,NA,7,NA,1,0,0.13333333333333333,0.06666666666666667,0,0.06666666666666667,0
126,2303,FALSE,NA,7,NA,1,0,0.3333333333333333,0.06666666666666667,0,0.06666666666666667,0
127,702,FALSE,NA,-8,NA,0,0,0,0,0,0,0
128,4923,FALSE,NA,3,NA,0,0,0.20000000397364298,0,0,0,0
129,2825,FALSE,NA,7,NA,1,0,0.2000000019868215,0.06666666666666667,0,0.06666666666666667,0
130,7506,FALSE,NA,7,NA,1,0,0.3333333333333333,0.06666666666666667,0,0.06666666666666667,0
131,2615,FALSE,NA,-8,NA,0,0,0,0,0,0,0
132,3612,FALSE,NA,6,NA,1,0,0.7333333373069764,0.06666666666666667,0,0.06666666666666667,0
133,1814,FALSE,NA,7,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
134,4509,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
135,8510,FALSE,NA,7,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
136,2518,FALSE,NA,7,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
137,2418,FALSE,NA,7,NA,1,0,0.46666667064030964,0.06666666666666667,0,0.06666666666666667,0
138,123,FALSE,NA,-8,NA,0,0,0.06666666865348816,0,0,0,0
139,4125,FALSE,NA,1,NA,0,0,0.2000000019868215,0,0,0,0
140,7522,FALSE,NA,7,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
141,923,FALSE,NA,7,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
142,2603,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
143,5911,FALSE,NA,6,NA,1,0,0.33333333532015486,0.06666666666666667,0,0.06666666666666667,0
144,3412,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
145,8904,FALSE,NA,6,NA,1,0,0.46666667064030964,0.06666666666666667,0,0.06666666666666667,0
146,903,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
147,7816,FALSE,NA,4,NA,0,0,0.06666666865348816,0,0,0,0
148,6506,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
149,3106,FALSE,NA,1,NA,0,0,0.4,0,0,0,0
150,3004,FALSE,NA,6,NA,1,0,0.2,0.06666666666666667,0,0.06666666666666667,0
151,418,FALSE,NA,7,NA,1,0,0.6666666666666667,0.06666666666666667,0,0.06666666666666667,0
152,2718,FALSE,NA,-8,NA,0,0,0.2666666686534882,0,0,0,0
153,7416,FALSE,NA,6,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
154,6811,FALSE,NA,-8,NA,0,0,0.13333333532015484,0,0,0,0
155,1009,FALSE,NA,5,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
156,7208,FALSE,NA,-8,NA,0,0,0,0,0,0,0
157,1105,FALSE,NA,7,NA,1,0,0.7333333373069764,0.06666666666666667,0,0.06666666666666667,0
158,5509,FALSE,NA,2,NA,0,0,0.20000000397364298,0,0,0,0
159,7521,FALSE,NA,7,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
160,6814,FALSE,NA,2,NA,0,0,0.33333333730697634,0,0,0,0
161,1421,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
162,6819,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
163,7719,FALSE,NA,7,NA,1,0,0.6666666686534881,0.06666666666666667,0,0.06666666666666667,0
164,3924,FALSE,NA,4,NA,0,0,0.33333333532015486,0,0,0,0
165,2422,FALSE,NA,4,NA,0,0,0.4666666666666667,0,0,0,0
166,4815,FALSE,NA,-8,NA,0,0,0.2000000019868215,0,0,0,0
167,4723,FALSE,NA,4,NA,0,0,0.2666666706403097,0,0,0,0
168,3920,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
169,2108,FALSE,NA,6,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
170,4009,FALSE,NA,7,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
171,5124,FALSE,NA,7,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
172,5620,FALSE,NA,7,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
173,1311,FALSE,NA,5,NA,1,0,0.46666667064030964,0.06666666666666667,0,0.06666666666666667,0
174,8003,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
175,7918,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
176,1402,FALSE,NA,3,NA,0,0,0.33333333532015486,0,0,0,0
177,2209,FALSE,NA,5,NA,1,0,0.8000000019868214,0.06666666666666667,0,0.06666666666666667,0
178,2725,FALSE,NA,1,NA,0,0,0.46666667064030964,0,0,0,0
179,3904,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
180,7018,FALSE,NA,3,NA,0,0,0.06666666865348816,0,0,0,0
181,5314,FALSE,NA,3,NA,0,0,0.5333333373069764,0,0,0,0
182,7905,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
183,1011,FALSE,NA,7,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
184,1001,FALSE,NA,5,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
185,2909,FALSE,NA,6,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
186,6411,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
187,5924,FALSE,NA,7,NA,1,0,0.33333333532015486,0.06666666666666667,0,0.06666666666666667,0
188,2017,FALSE,NA,4,NA,0,0,0.26666666666666666,0,0,0,0
189,4215,FALSE,NA,-8,NA,0,0,0.26666666666666666,0,0,0,0
190,2706,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
191,5409,FALSE,NA,5,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
192,8006,FALSE,NA,7,NA,1,0,0.800000003973643,0.06666666666666667,0,0.06666666666666667,0
193,5917,FALSE,NA,1,NA,0,0,0.2666666706403097,0,0,0,0
194,3023,FALSE,NA,7,NA,1,0,0.6666666686534881,0.06666666666666667,0,0.06666666666666667,0
195,6401,FALSE,NA,7,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
196,4802,FALSE,NA,4,NA,0,0,0.2000000019868215,0,0,0,0
197,8615,FALSE,NA,-8,NA,0,0,0.13333333333333333,0,0,0,0
198,317,FALSE,NA,7,NA,1,0,0.7333333333333333,0.06666666666666667,0,0.06666666666666667,0
199,8204,FALSE,NA,6,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
200,6813,FALSE,NA,7,NA,1,0,0.7333333373069764,0.06666666666666667,0,0.06666666666666667,0
201,5411,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
202,8216,FALSE,NA,-8,NA,0,0,0.46666667064030964,0,0,0,0
203,2901,FALSE,NA,3,NA,0,0,0.5333333353201548,0,0,0,0
204,3006,FALSE,NA,7,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
205,7722,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
206,5624,FALSE,NA,7,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
207,2908,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
208,1123,FALSE,NA,3,NA,0,0,0.33333333730697634,0,0,0,0
209,6906,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
210,8214,FALSE,NA,2,NA,0,0,0.4000000019868215,0,0,0,0
211,2904,FALSE,NA,6,NA,1,0,0.2,0.06666666666666667,0,0.06666666666666667,0
212,6025,FALSE,NA,7,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
213,7505,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
214,116,FALSE,NA,7,NA,1,0,0.2666666686534882,0.06666666666666667,0,0.06666666666666667,0
215,8105,FALSE,NA,6,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
216,8025,FALSE,NA,-8,NA,0,0,0.5333333373069764,0,0,0,0
217,8311,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
218,1312,FALSE,NA,6,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
219,6608,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
220,2207,FALSE,NA,7,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
221,2211,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
222,5824,FALSE,NA,6,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
223,3701,FALSE,NA,-8,NA,0,0,0,0,0,0,0
224,4109,FALSE,NA,7,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
225,2411,FALSE,NA,-8,NA,0,0,0.26666666666666666,0,0,0,0
226,7721,FALSE,NA,6,NA,1,0,0.9333333373069763,0.06666666666666667,0,0.06666666666666667,0
227,5603,FALSE,NA,7,NA,1,0,0.26666666666666666,0.06666666666666667,0,0.06666666666666667,0
228,8319,FALSE,NA,6,NA,1,0,0.6666666706403097,0.06666666666666667,0,0.06666666666666667,0
229,8625,FALSE,NA,7,NA,1,0,0.6666666686534881,0.06666666666666667,0,0.06666666666666667,0
230,4720,FALSE,NA,7,NA,1,0,0.7333333373069764,0.06666666666666667,0,0.06666666666666667,0
231,4717,FALSE,NA,-8,NA,0,0,0,0,0,0,0
232,5904,FALSE,NA,-8,NA,0,0,0.26666666666666666,0,0,0,0
233,1209,FALSE,NA,4,NA,0,0,0.3333333333333333,0,0,0,0
234,6815,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
235,3002,FALSE,NA,-8,NA,0,0,0.06666666865348816,0,0,0,0
236,1422,FALSE,NA,-8,NA,0,0,0.26666666666666666,0,0,0,0
237,8604,FALSE,NA,3,NA,0,0,0.2666666686534882,0,0,0,0
238,2917,FALSE,NA,5,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
239,7520,FALSE,NA,7,NA,1,0,0.3333333333333333,0.06666666666666667,0,0.06666666666666667,0
240,1411,FALSE,NA,7,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
241,1420,FALSE,NA,7,NA,1,0,0.6666666666666666,0.06666666666666667,0,0.06666666666666667,0
242,6721,FALSE,NA,6,NA,1,0,0.5333333373069764,0.06666666666666667,0,0.06666666666666667,0
243,4119,FALSE,NA,-8,NA,0,0,0,0,0,0,0
244,8809,FALSE,NA,6,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
245,1423,FALSE,NA,5,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
246,4905,FALSE,NA,5,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
247,8320,FALSE,NA,7,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
248,4902,FALSE,NA,3,NA,0,0,0.5333333353201548,0,0,0,0
249,8108,FALSE,NA,7,NA,1,0,0.46666667064030964,0.06666666666666667,0,0.06666666666666667,0
250,7824,FALSE,NA,6,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
251,6613,FALSE,NA,-8,NA,0,0,0.06666666666666667,0,0,0,0
252,7110,FALSE,NA,7,NA,1,0,0.9333333373069763,0.06666666666666667,0,0.06666666666666667,0
253,3216,FALSE,NA,6,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
254,3824,FALSE,NA,6,NA,1,0,0.5333333353201548,0.06666666666666667,0,0.06666666666666667,0
255,9024,FALSE,NA,4,NA,0,0,0,0,0,0,0
256,4017,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
257,4821,FALSE,NA,7,NA,1,0,0.2666666686534882,0.06666666666666667,0,0.06666666666666667,0
258,1703,FALSE,NA,7,NA,1,0,0.46666666865348816,0.06666666666666667,0,0.06666666666666667,0
259,7404,FALSE,NA,7,NA,1,0,0.400000003973643,0.06666666666666667,0,0.06666666666666667,0
260,5305,FALSE,NA,-8,NA,0,0,0,0,0,0,0
261,7225,FALSE,NA,4,NA,0,0,0.2,0,0,0,0
262,6806,FALSE,NA,7,NA,1,0,0.33333333532015486,0.06666666666666667,0,0.06666666666666667,0
263,4313,FALSE,NA,7,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
264,6509,FALSE,NA,7,NA,1,0,0.5333333333333333,0.06666666666666667,0,0.06666666666666667,0
265,219,FALSE,NA,7,NA,1,0,0.800000003973643,0.06666666666666667,0,0.06666666666666667,0
266,6322,FALSE,NA,7,NA,1,0,0.8666666706403097,0.06666666666666667,0,0.06666666666666667,0
267,1911,FALSE,NA,7,NA,1,0,0.7333333353201548,0.06666666666666667,0,0.06666666666666667,0
268,5921,FALSE,NA,-8,NA,0,0,0.2,0,0,0,0
269,6315,FALSE,NA,7,NA,1,0,0.800000003973643,0.06666666666666667,0,0.06666666666666667,0
270,3718,FALSE,NA,7,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
271,411,FALSE,NA,6,NA,1,0,0.8666666706403097,0.06666666666666667,0,0.06666666666666667,0
272,2313,FALSE,NA,-8,NA,0,0,0.06666666865348816,0,0,0,0
273,7418,FALSE,NA,6,NA,1,0,0.33333333730697634,0.06666666666666667,0,0.06666666666666667,0
274,5125,FALSE,NA,4,NA,0,0,0.2000000019868215,0,0,0,0
275,1213,FALSE,NA,2,NA,0,0,0.4000000019868215,0,0,0,0
276,2018,FALSE,NA,7,NA,1,0,0.3333333333333333,0.06666666666666667,0,0.06666666666666667,0
277,7401,FALSE,NA,5,NA,1,0,0.4666666666666667,0.06666666666666667,0,0.06666666666666667,0
278,1104,FALSE,NA,4,NA,0,0,0.4,0,0,0,0
279,2815,FALSE,NA,7,NA,1,0,0.6,0.06666666666666667,0,0.06666666666666667,0
280,6915,FALSE,NA,-8,NA,0,0,0.13333333333333333,0,0,0,0
281,1611,FALSE,NA,7,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
282,3913,FALSE,NA,7,NA,1,0,0.6000000039736431,0.06666666666666667,0,0.06666666666666667,0
283,5901,FALSE,NA,7,NA,1,0,0.7333333333333334,0.06666666666666667,0,0.06666666666666667,0
284,8106,FALSE,NA,6,NA,1,0,0.4000000019868215,0.06666666666666667,0,0.06666666666666667,0
285,112,FALSE,NA,7,NA,1,0,0.13333333532015484,0.06666666666666667,0,0.06666666666666667,0
286,6617,FALSE,NA,7,NA,1,0,0.4,0.06666666666666667,0,0.06666666666666667,0
287,6009,FALSE,NA,5,NA,1,0,0.6000000019868215,0.06666666666666667,0,0.06666666666666667,0
