ID,Group,weight_group,Weight,Time,Country,gender,urban_global,education_ISCE,age,a_1,a_2,a_3,a_4,a_5,proposal_01,proposal_02,proposal_03,proposal_04,proposal_05,proposal_06,proposal_07,proposal_08,proposal_09,proposal_10,proposal_11,proposal_12,proposal_13,proposal_14,proposal_15,proposal_16,proposal_17,proposal_18,proposal_19,proposal_20,proposal_21,proposal_22,proposal_23,proposal_24,proposal_25,proposal_26,proposal_27,proposal_28,proposal_29,proposal_30,proposal_31,proposal_32,proposal_33,proposal_34,proposal_35,proposal_36,proposal_37,proposal_38,proposal_39,proposal_40,proposal_41,proposal_42,proposal_43,proposal_44,proposal_45,statement_01,statement_02,statement_03,statement_04,statement_05,statement_06,statement_07,statement_08,statement_09,statement_10,statement_11,statement_12,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,civic_1,civic_2,civic_3,civic_4,civic_5,civic_6,civic_7,disagree_1,disagree_2,disagree_3,disagree_4,disagree_5,disagree_6,disagree_7,disagree_8,disagree_9,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6,b_01,b_02,b_03,b_04,b_05,b_06,b_07,b_08_1,b_08_2,b_08_3,b_08_4,b_08_5,b_09,b_10_01,b_10_02,b_10_03,b_10_04,b_10_05,b_10_06,b_10_07,b_10_08,b_10_09,b_10_10,b_10_11,b_10_12,b_10_13,b_10_14,b_10_15,b_10_16,eval_01,eval_02,eval_03,eval_04,eval_05,eval_06,eval_07,eval_08,eval_09,eval_10,eval_11,eval_12,eval_13,eval_14,eval_15,eval_16,eval_17,eval_18
IN_6176890432,1,India_Treatment,1.03843225355991,0,3,0,0,6,29,,8,0,,,9,8,8,10,7,7,6,8,8,7,6,7,7,8,10,10,9,8,8,6,8,6,9,6,9,7,8,5,7,8,8,7,7,9,7,7,9,6,6,8,7,8,8,8,8,10,4,2,1,8,7,7,7,7,8,7,4,9,8,8,7,9,10,10,10,0,9,8,2,2,7,7,5,6,7,7,8,8,4,8,7,3,3,6,5,4,6,4,,5,5,4,4,1,1,2,1,1,,,,,,,,11,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,
IN_6176890432,1,India_Treatment,1.03843225355991,1,3,0,0,6,29,9,9,1,9,9,9,10,8,9,9,8,7,5,8,7,9,9,8,10,9,10,10,10,9,7,6,3,8,8,8,8,6,8,8,6,6,8,10,10,7,9,8,9,7,8,9,8,9,9,7,4,6,0,2,5,7,5,7,2,8,6,6,9,7,8,9,9,9,10,7,1,9,1,1,3,9,8,4,4,5,6,8,6,7,7,9,7,4,6,4,4,5,4,,5,5,4,5,1,1,2,1,1,1,3,0,0,1,1,0,41,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,5,6,8,10,8,5,8,9,7,10,7,1,6,9,8,10,2,8
IN_6176735016,0,India_Control,0.983818095929466,0,3,0,1,3,56,1,1,0,,,9,9,4,9,9,9,9,9,7,9,9,9,9,9,10,10,10,10,10,10,9,10,7,1,1,7,6,,,9,8,7,9,8,9,10,10,10,10,10,9,10,10,10,10,9,7,1,5,10,8,8,9,3,1,9,7,10,8,10,10,10,10,10,10,10,10,5,9,9,9,10,9,8,9,9,9,8,9,9,8,6,6,7,6,5,7,4,1,5,3,4,5,1,2,2,1,1,,,,,,,,33,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176735016,0,India_Control,0.983818095929466,1,3,0,1,3,56,9,8,1,6,4,10,,9,7,8,6,9,9,9,9,9,8,8,8,9,10,10,10,10,9,9,10,,,8,9,10,10,10,10,9,9,9,10,10,10,10,9,9,10,10,10,,9,9,10,10,,5,,9,9,8,9,,10,6,10,9,9,10,10,10,10,10,9,4,3,6,4,9,9,8,8,6,7,9,8,8,8,9,5,4,6,6,6,7,4,1,5,5,4,5,1,4,2,4,4,1,8,,,,,,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6177031760,1,India_Treatment,0.386432142317162,0,3,0,0,4,20,10,10,0,,,10,10,9,10,10,10,8,5,10,10,8,9,7,9,9,10,10,9,9,10,8,7,8,9,9,9,8,5,9,8,9,10,10,10,8,9,9,8,8,9,10,10,9,8,8,7,7,6,7,6,7,7,7,7,8,7,7,9,10,10,10,10,10,10,10,2,7,3,5,3,5,5,7,6,5,5,5,5,10,6,6,10,9,10,10,10,10,2,,5,5,,,1,2,2,1,1,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6177031760,1,India_Treatment,0.386432142317162,1,3,0,0,4,20,9,9,0,,,10,9,9,10,10,10,9,9,10,10,10,9,9,9,9,10,9,10,10,10,9,9,9,8,9,9,9,9,9,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,9,9,9,2,6,10,8,8,8,8,9,9,10,10,10,10,10,9,9,10,10,6,8,9,4,2,8,8,5,5,5,7,8,5,10,3,7,10,8,10,8,8,8,4,,1,4,4,4,1,2,2,1,1,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,9,9,7,7,8,7,7,10,8,0,7,7,9,8,0,8
IN_6176625342,1,India_Treatment,2.81754681087132,0,3,0,0,3,48,10,7,1,5,5,8,7,6,7,7,8,8,6,6,7,6,9,6,7,6,6,9,6,8,6,4,5,5,6,5,5,7,5,6,3,4,7,8,4,7,5,5,4,7,3,7,5,8,4,6,8,5,5,3,6,5,4,7,4,6,5,7,5,5,8,5,6,6,5,8,5,7,6,4,5,6,4,5,6,6,4,5,6,7,6,6,8,6,5,7,6,4,4,1,5,3,3,5,1,3,4,1,1,3,1,0,0,0,1,0,76,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176625342,1,India_Treatment,2.81754681087132,1,3,0,0,3,48,5,9,1,6,5,10,10,5,5,7,9,8,7,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,7,6,8,4,9,8,10,10,9,9,9,7,9,8,8,7,8,8,7,10,,10,10,10,10,10,8,8,6,7,5,5,5,10,5,8,6,9,10,5,5,5,5,10,10,,8,6,6,6,6,9,7,9,6,5,5,5,5,10,2,,5,5,2,5,1,1,2,4,1,2,1,1,0,0,1,0,56,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10,7,10,10,8,7,8,10,10,7,8,6,10,8,8,10,3,4
IN_6177007684,1,India_Treatment,1.3863533210752,0,3,1,0,3,20,9,9,0,,,9,9,9,9,9,9,9,8,9,9,8,9,9,9,10,10,9,9,9,9,9,9,9,8,9,9,8,9,9,8,9,9,9,10,9,9,9,9,9,7,8,9,9,9,9,8,8,7,8,10,9,8,8,6,8,6,6,10,8,9,7,9,9,10,9,6,3,3,3,6,4,5,3,6,6,7,7,2,8,4,4,7,7,8,8,8,6,4,4,5,5,2,5,1,2,2,1,1,,,,,,,,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6177007684,1,India_Treatment,1.3863533210752,1,3,1,0,3,20,10,9,0,,,10,9,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,3,9,9,10,9,10,3,8,6,6,10,7,10,9,9,10,10,10,9,3,3,4,3,7,8,4,6,5,7,6,4,8,5,9,8,8,9,9,8,7,4,4,5,5,4,5,1,2,3,1,1,,,,,,,,80,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,10,10,10,10,10,10,10,10,9,1,9,10,10,10,0,10
IN_6176890326,1,India_Treatment,0.399171185439924,0,3,0,0,6,35,7,7,0,,,7,5,9,9,5,8,9,9,8,9,10,9,9,5,10,10,9,9,10,10,9,10,9,10,10,10,10,10,9,9,10,10,10,10,10,10,9,8,7,7,6,5,4,3,2,8,8,1,2,3,4,5,6,7,6,7,7,10,10,10,10,10,10,9,8,10,10,10,10,8,8,10,10,7,6,8,10,8,8,8,9,10,7,8,9,6,8,2,1,5,5,2,5,1,2,2,1,1,,,,,,,,10,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176890326,1,India_Treatment,0.399171185439924,1,3,0,0,6,35,10,10,0,,,10,10,9,10,10,8,8,7,9,8,6,7,9,9,10,10,10,10,9,8,8,8,8,9,8,9,10,9,9,8,8,10,9,8,8,7,8,10,9,8,8,8,9,10,10,7,8,8,8,8,8,9,9,8,7,9,9,10,7,10,8,10,8,10,10,10,10,9,8,9,9,9,7,9,9,8,8,9,10,10,10,10,7,9,10,8,7,4,4,5,5,2,5,1,2,5,1,1,,,,,,,,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
IN_6176549808,1,India_Treatment,0.373355852163771,0,3,1,0,6,29,10,10,0,,,9,10,10,10,8,8,8,10,9,10,9,9,10,9,10,10,10,10,9,8,10,8,9,9,10,9,8,9,10,10,9,9,9,,9,10,9,9,8,9,10,9,9,9,9,9,8,8,9,9,7,8,7,7,7,7,8,8,,10,8,8,8,8,8,7,8,6,9,8,8,8,,,,,8,,9,,7,7,6,8,8,6,9,4,,4,5,4,,1,4,2,7,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
IN_6176549808,1,India_Treatment,0.373355852163771,1,3,1,0,6,29,9,10,0,,,8,9,10,7,8,9,10,8,10,8,9,8,10,10,10,10,10,9,7,8,8,6,10,,10,,,,10,8,,,10,10,8,10,9,9,10,,8,10,10,9,10,,7,,8,6,9,,10,7,9,2,3,10,8,10,8,8,10,10,10,3,6,5,4,7,5,6,,7,,,7,,8,,7,7,6,8,8,8,9,4,,5,5,4,,1,4,2,2,7,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,6,10,5,1,6,8,9,9,10,7,0,1,9,8,9,0,8
IN_6177007716,1,India_Treatment,1.31420543720612,0,3,0,0,3,55,9,9,0,,,9,8,6,5,10,7,8,9,8,9,7,9,7,10,10,10,7,7,8,9,8,10,9,8,9,7,7,9,10,7,8,10,9,9,9,8,7,6,9,8,9,8,7,9,7,5,7,6,2,5,6,9,7,8,8,6,8,2,,5,8,5,10,10,10,4,5,8,6,10,5,2,,9,10,9,6,9,7,8,8,3,5,9,10,8,6,2,,5,5,3,5,1,2,2,1,2,,,,,,,,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6177007716,1,India_Treatment,1.31420543720612,1,3,0,0,3,55,9,9,0,,,8,10,9,8,9,8,10,9,9,10,9,10,9,8,10,10,9,10,9,7,9,10,8,9,8,10,9,9,10,9,8,9,8,10,10,8,9,8,10,10,10,10,9,9,8,8,7,5,7,7,9,8,9,7,6,8,6,6,8,10,9,8,8,10,8,5,7,8,5,6,5,9,4,4,8,7,10,9,8,2,4,5,4,8,9,8,8,2,,5,5,3,5,1,2,3,2,2,,,,,,,,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,9,7,8,9,7,8,7,7,9,8,9,9,8,10,9
IN_6174675422,1,India_Treatment,1.03808181075536,0,3,0,0,4,49,8,3,0,,,9,9,9,6,8,7,10,5,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,9,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,9,1,7,10,10,7,10,3,10,5,6,10,7,10,10,10,10,10,10,8,5,9,10,10,6,7,6,10,10,3,10,8,8,3,8,10,8,9,10,8,9,4,,5,5,,5,1,4,1,1,1,,,,,,,,15,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,
IN_6174675422,1,India_Treatment,1.03808181075536,1,3,0,0,4,49,9,6,0,,,4,2,10,8,9,9,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,1,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,0,7,1,10,9,10,7,2,5,2,10,5,10,10,10,10,10,10,9,7,3,2,2,8,8,7,4,10,4,10,10,10,1,3,10,6,9,10,8,9,4,,5,5,4,5,1,4,1,1,1,,,,,,,,15,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,9,10,10,10,10,10,10,9,10,10,8,0,10,10,7,10,0,10
IN_6176811394,0,India_Control,1.03446036995637,0,3,1,0,6,28,8,8,0,,,10,10,10,10,9,10,9,9,9,9,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,10,10,9,10,10,9,9,10,9,10,9,10,9,9,10,9,10,9,9,9,9,10,10,10,10,9,7,8,7,6,10,6,10,10,8,10,9,10,10,10,3,3,9,9,10,9,8,8,9,9,9,6,8,8,5,6,7,7,6,8,4,,5,5,,5,1,1,3,1,1,,,,,,,,48,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
IN_6176811394,0,India_Control,1.03446036995637,1,3,1,0,6,28,8,10,0,,,9,10,9,9,6,3,10,9,9,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,3,10,10,10,10,10,8,0,0,8,10,9,9,9,9,9,10,10,10,4,10,10,8,10,10,10,6,9,5,4,4,4,9,9,9,9,5,8,9,8,3,5,5,3,6,6,5,7,4,,5,5,,5,1,1,3,1,1,,,,,,,,28,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
IN_6176811146,0,India_Control,0.223391473214755,0,3,1,0,6,49,9,8,1,9,9,9,9,9,8,8,9,8,8,8,7,9,8,8,9,8,8,8,8,7,8,7,8,8,7,8,8,8,8,8,8,8,7,8,9,8,8,8,8,9,8,8,8,8,8,9,9,9,9,8,9,8,9,8,8,9,9,8,9,9,9,9,9,9,8,9,9,9,5,6,7,8,6,8,9,9,9,9,8,8,8,8,7,7,6,6,6,7,2,,1,1,1,2,1,2,3,2,2,2,2,1,0,1,0,0,81,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176811146,0,India_Control,0.223391473214755,1,3,1,0,6,49,8,8,1,8,8,9,9,8,3,9,8,8,8,7,9,8,9,9,8,8,8,9,9,10,10,10,9,9,3,9,9,9,8,8,9,8,8,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,8,9,8,8,9,8,8,8,8,9,10,10,10,9,10,9,9,9,10,9,7,9,7,7,8,7,10,5,8,9,9,9,8,8,7,8,8,8,8,8,2,5,1,4,2,3,1,1,2,1,1,3,2,1,0,1,0,0,89,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
IN_6170250490,0,India_Control,2.22363136922738,0,3,0,0,3,44,6,8,0,,,8,8,8,8,8,8,8,9,8,9,9,8,8,9,10,10,9,9,9,9,9,9,8,9,8,9,9,9,8,9,9,8,8,8,8,8,9,9,9,8,9,9,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,5,5,6,7,8,7,5,6,6,7,6,6,7,7,8,7,7,7,8,8,7,2,,1,5,,,1,,3,2,4,,,,,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6170250490,0,India_Control,2.22363136922738,1,3,0,0,3,44,8,8,0,,,8,8,7,8,8,9,10,9,9,8,8,8,8,8,10,10,10,9,10,9,9,10,9,10,10,10,9,9,9,10,5,10,10,9,9,10,9,9,9,9,9,9,10,9,10,9,7,8,9,7,9,8,8,8,9,8,8,10,5,9,3,9,10,10,10,8,10,9,9,3,7,9,9,9,9,9,9,8,9,9,9,8,8,9,10,9,9,2,,1,5,,,1,2,3,2,2,,,,,,,,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6177310038,1,India_Treatment,0.847286434332067,0,3,0,0,3,23,9,10,1,9,9,10,10,10,10,5,8,9,7,,,,9,9,6,10,10,8,10,10,10,9,9,9,10,10,10,10,10,10,7,5,10,10,10,,10,10,10,6,5,6,10,10,5,10,10,10,8,6,5,10,10,10,9,7,10,7,10,7,8,7,9,9,8,7,9,8,9,9,8,10,10,10,10,10,,0,0,2,2,5,0,2,5,6,5,5,4,,1,5,1,,1,,,1,1,6,1,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
IN_6177310038,1,India_Treatment,0.847286434332067,1,3,0,0,3,23,10,10,1,5,7,8,7,6,5,5,5,5,5,6,4,6,4,6,4,6,6,5,4,7,,,5,5,7,8,4,6,5,4,5,4,5,4,7,4,6,4,5,5,6,4,5,6,6,6,7,8,7,9,6,5,7,4,5,6,5,6,5,4,5,5,6,4,6,4,6,4,6,4,5,4,4,5,5,6,4,6,5,7,7,7,0,3,2,7,6,7,,,5,5,4,5,0,,,,,6,5,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,9,10,4,8,5,9,10,4,10,8,8,10,4,10,8,7
IN_6176967784,1,India_Treatment,1.21777857854348,0,3,0,0,1,71,7,6,0,,,5,5,5,7,5,5,5,5,8,10,7,10,9,7,7,9,9,10,8,9,7,9,10,0,9,3,4,9,8,9,7,8,7,10,10,7,8,10,10,9,10,10,9,10,10,8,10,6,5,5,10,7,10,10,7,8,10,10,10,10,10,10,10,10,10,10,5,10,10,10,9,10,10,10,10,10,10,10,10,10,10,5,5,7,8,8,5,1,4,5,,3,4,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6176967784,1,India_Treatment,1.21777857854348,1,3,0,0,1,71,8,9,0,,,6,7,6,8,8,8,9,9,9,9,10,10,10,9,9,9,10,10,8,7,9,10,10,0,10,9,8,9,9,9,10,10,10,10,10,8,10,10,10,10,10,10,10,9,10,8,10,,7,8,2,2,8,5,8,1,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,9,10,10,10,9,9,10,10,8,10,5,6,9,9,8,7,4,4,5,4,3,5,1,3,2,1,1,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
IN_6170427734,1,India_Treatment,1.83366771872599,0,3,0,0,3,19,8,8,0,,,10,10,5,7,,7,10,8,8,8,9,10,10,10,10,10,10,10,9,5,9,9,10,,10,5,5,6,10,8,10,8,10,10,7,8,,9,10,7,9,10,10,7,9,7,3,0,5,6,9,10,,1,1,,3,8,9,10,9,10,10,10,,0,8,0,3,0,5,10,7,8,3,8,,9,9,,5,5,5,9,8,9,,4,,5,5,,,1,2,2,1,2,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,
IN_6170427734,1,India_Treatment,1.83366771872599,1,3,0,0,3,19,10,10,0,,,10,8,,6,8,10,10,10,5,10,10,10,,10,10,10,10,9,9,,10,10,9,7,10,10,0,7,8,10,6,10,9,10,7,10,10,10,10,10,10,9,9,8,9,5,8,1,,9,10,9,8,4,8,,5,10,8,10,9,10,10,10,8,5,6,0,5,5,7,8,7,8,,7,,9,9,4,7,8,8,9,9,9,8,4,4,5,5,4,,1,2,2,1,2,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,7,9,8,4,6,9,10,10,10,3,0,9,5,9,8,0,10
