poll_id,definition_id,measure_id,source_waves,scoring_rule,missing_policy,denominator_policy,post_dependent,calibration_sample,evidence
uk-eu-1995,ukeu.commies1r@historical-v1,ukeu.commies1r,T1,linear,system only; code9 retained,available-components,FALSE,"uk-eu-1995:all-900; [1,9]",R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,ukeu.favref1r@historical-v1,ukeu.favref1r,T1,linear,system only; code9 retained,available-components,FALSE,"uk-eu-1995:all-900; [1,9]",R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,ukeu.eurelat2g@ukeu-03-v2,ukeu.eurelat2g,T2,available-mean-post-substantive-1-to-5,-1|6|8|9|system for releu/longpol; -1|8|9|system for unite,available-components,TRUE,"uk-eu-1995:all-900; releu/longpol=[1,5]; unite=[1,5]",R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,ukeu.euscope2g@ukeu-04-v2,ukeu.euscope2g,T2,available-mean-substantive-1-to-5,-1|8|9|system,available-components,TRUE,"uk-eu-1995:all-900; all=[1,5]",R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,ukeu.commies2r@historical-v1,ukeu.commies2r,T2,linear,-1|8|9|system,available-components,TRUE,"uk-eu-1995:all-900; [1,5]",R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,ukeu.favref2r@historical-v1,ukeu.favref2r,T2,linear,-1|8|9|system,available-components,TRUE,"uk-eu-1995:all-900; [1,5]",R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,female@historical-v1,female,T1,identity-0-male-1-female,system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,minority@historical-v1,minority,T1,ethnic-not-1,-1|8|97|99|system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,ppage@historical-v1,ppage,T1,identity-years,-1|97|98|99|system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,educ4@historical-v1,educ4,T1,qualification-ordinal-0-.33-.66-1,-1|13|99|system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,educ3@historical-v1,educ3,T1,collapse-educ4-middle,-1|13|99|system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,bettered@historical-v1,bettered,T1,educ4-at-least-.33,-1|13|99|system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t1polint@historical-v1,t1polint,T1,1:4-to-0-.33-.66-1,-1|8|9|system,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,attextreme@historical-v1,attextreme,T1,mean-absolute-distance-.5-of-four-historical-indices,per-input historical policy,available-indices,FALSE,uk-eu-1995:all-900; same component calibrations as attitude definitions,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t1know@historical-v1,t1know,T1,five-item-mean,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t2know@historical-v1,t2know,T2,five-item-mean,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,TRUE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t1knowcor@historical-v1,t1knowcor,T1|T2,joint-correctness-mean,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,TRUE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,knowgain@historical-v1,knowgain,T1|T2,post-minus-pre,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,TRUE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,knowgain2@historical-v1,knowgain2,T1|T2,post-minus-joint,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,TRUE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,logpk@historical-v1,logpk,T1|T2,log-joint-zero-replaced-.0001,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,TRUE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,tobitpk@historical-v1,tobitpk,T1|T2,joint-above-.6,noncorrect including -1|8|9 at T1; -1|3|9 at T2; system:score-zero,five-items,TRUE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,readbrief@historical-v1,readbrief,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,hhincome@historical-v1,hhincome,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,highinc@historical-v1,highinc,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t1knowcor2@historical-v1,t1knowcor2,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t12know@historical-v1,t12know,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,t12knowcor@historical-v1,t12knowcor,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-eu-1995,attextreme2@historical-v1,attextreme2,not-measured,historical-constant-missing,always-missing,not-applicable,FALSE,,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05
uk-monarchy-1996,monarchy_support_t1@historical-v1,monarchy_support_t1,T1,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,monarchy_people_t1@historical-v1,monarchy_people_t1,T1,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,monarchy_power_t1@historical-v1,monarchy_power_t1,T1,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,lords_reform_t1@historical-v1,lords_reform_t1,T1,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,monarchy_support_t2@historical-v1,monarchy_support_t2,T2,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,monarchy_people_t2@historical-v1,monarchy_people_t2,T2,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,monarchy_power_t2@historical-v1,monarchy_power_t2,T2,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,lords_reform_t2@historical-v1,lords_reform_t2,T2,available-mean-explicit-item-recodes-float32,system and documented non-substantive codes,available-components,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,female@historical-v1,female,T1,sex-not-one,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,minority@historical-v1,minority,T1,ethnicity-not-one,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,age@historical-v1,age,T1,age-band-midpoints-2-through-9-other-codes-retained,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,political_interest_t1@historical-v1,political_interest_t1,T1,one-to-four-reversed-five-missing-six-retained,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,education_four@historical-v1,education_four,T1,school-qualification-override,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,education_three@historical-v1,education_three,T1,school-qualification-override-middle-to-half,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,higher_education@historical-v1,higher_education,T1,school-qualification-override-at-least-point33,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_t1@historical-v1,knowledge_t1,T1,nine-item-fixed-denominator,all-noncorrect-including-missing-zero,9,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_t2@ukm-01-v2,knowledge_t2,T2,nine-item-fixed-denominator-post-commonwealth,all-noncorrect-including-missing-zero,9,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_joint@ukm-01-v2,knowledge_joint,T1|T2,nine-item-fixed-denominator-post-commonwealth-knowledge_joint,all-noncorrect-including-missing-zero,9,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_gain@ukm-01-v2,knowledge_gain,T1|T2,nine-item-fixed-denominator-post-commonwealth-knowledge_gain,all-noncorrect-including-missing-zero,9,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_gain_joint@ukm-01-v2,knowledge_gain_joint,T1|T2,nine-item-fixed-denominator-post-commonwealth-knowledge_gain_joint,all-noncorrect-including-missing-zero,9,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,log_knowledge_joint@ukm-01-v2,log_knowledge_joint,T1|T2,nine-item-fixed-denominator-post-commonwealth-log_knowledge_joint,all-noncorrect-including-missing-zero,9,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,high_knowledge_joint@ukm-01-v2,high_knowledge_joint,T1|T2,nine-item-fixed-denominator-post-commonwealth-high_knowledge_joint,all-noncorrect-including-missing-zero,9,TRUE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,attitude_extremity@historical-v1,attitude_extremity,T1,available-mean-absolute-distance-from-half,system and documented non-substantive codes,available-indices,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,household_income@historical-v1,household_income,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,high_income@historical-v1,high_income,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,read_briefing@historical-v1,read_briefing,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_joint_midterm@historical-v1,knowledge_joint_midterm,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_midterm@historical-v1,knowledge_midterm,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,knowledge_midterm_joint@historical-v1,knowledge_midterm_joint,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-monarchy-1996,attitude_extremity_midterm@historical-v1,attitude_extremity_midterm,none,historical-constant-missing,structurally-absent,not-applicable,FALSE,,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04
uk-general-election-1997,redistribution_t1@historical-v1,redistribution_t1,T1,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,tax_t1@historical-v1,tax_t1,T1,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,minimum_wage_t1@historical-v1,minimum_wage_t1,T1,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,european_union_t1@historical-v1,european_union_t1,T1,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,redistribution_t2@historical-v1,redistribution_t2,T2,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,tax_t2@ukge-02-v2,tax_t2,T2,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,minimum_wage_t2@historical-v1,minimum_wage_t2,T2,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,european_union_t2@historical-v1,european_union_t2,T2,seven-category-rounded-hundredths-float32,system and documented non-substantive codes,one-item,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,female@historical-v1,female,T1,gender-zero,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,minority@historical-v1,minority,T1,ethnicity-not-one-minus-seven-missing,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,age@historical-v1,age,T1,raw-age-minus-seven-missing,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,political_interest_t1@historical-v1,political_interest_t1,T1,five-categories-collapsed-four-levels,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,household_income@historical-v1,household_income,T1,sixteen-income-categories-collapsed-five,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,high_income@historical-v1,high_income,T1,collapsed-income-greater-than-two,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,education_four@historical-v1,education_four,T1,school-qualification-override,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,education_three@historical-v1,education_three,T1,school-qualification-override-middle-to-half,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,higher_education@historical-v1,higher_education,T1,school-qualification-override-at-least-point33,system and documented non-substantive codes,not-applicable,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,knowledge_t1@historical-v1,knowledge_t1,T1,float32-factual-subscale-weighted-with-party-placement,all-noncorrect-including-missing-zero,15,FALSE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,knowledge_t2@ukge-03-v2,knowledge_t2,T2,fifteen-item-fixed-denominator,all-noncorrect-including-missing-zero,15,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,knowledge_joint@ukge-03-v2,knowledge_joint,T1|T2,fifteen-item-fixed-denominator-knowledge_joint,all-noncorrect-including-missing-zero,15,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
uk-general-election-1997,knowledge_gain@ukge-03-v2,knowledge_gain,T1|T2,fifteen-item-fixed-denominator-knowledge_gain,all-noncorrect-including-missing-zero,15,TRUE,,R/respondent_election.R; docs/poll-issues.md UKGE-01-04
