poll_id,item_id,source_column_t1,historical_item_id,cor_item_id,question,wording_source,response_type,answer_choices,correct_codes,correct_answer,source_reference,coding_note,historical_item_id_t2
wtu-1996,knowledge_003,RT1,rt,knowledge-3,Which WTU customer group pays the highest electric rates?,questionnaire or source codebook,multiple choice,1: Residential | 2: Commerical | 3: Industrial | 99: dk,1,Residential,data/wtu-1996/codebook.txt,,
wtu-1996,knowledge_004,SMOG1,smog,knowledge-4,Which electricity source produces the most air emissions?,questionnaire or source codebook,multiple choice,1: Nuclear | 2: Coal | 3: Natural Gas | 99: dk,2,Coal,data/wtu-1996/codebook.txt,,
wtu-1996,knowledge_005,SETRT1,setrt,knowledge-5,Which agency sets electric rates in Texas?,questionnaire or source codebook,open coded,,1,PUC,data/wtu-1996/codebook.txt,Open answer coded into source categories; code 1 (Public Utility Commission) scored correct. Other codes scored incorrect. See R/respondent_utilities.R.,
swepco-1996,knowledge_001,SOURCE1,source,knowledge-1,Which energy source produces the greatest amount of SWEPCO electricity?,questionnaire or source codebook,multiple choice,1: Coal | 2: Wind | 3: Natural Gas | 4: Fuel Oil | 5: Nuclear | 6: Solar | 99: dk,1,Coal,data/swepco-1996/codebook.txt,,
swepco-1996,knowledge_002,USE1,use,knowledge-2,Which customer group uses the most SWEPCO electricity?,questionnaire or source codebook,multiple choice,1: Residential | 2: Commerical | 3: Industrial | 99: dk,3,Industrial,data/swepco-1996/codebook.txt,,
swepco-1996,knowledge_003,RT1,rt,knowledge-3,Which SWEPCO customer group pays the highest electric rates?,questionnaire or source codebook,multiple choice,1: Residential | 2: Commerical | 3: Industrial | 99: dk,1,Residential,data/swepco-1996/codebook.txt,,
swepco-1996,knowledge_004,SMOG1,smog,knowledge-4,Which electricity source produces the most air emissions?,questionnaire or source codebook,multiple choice,1: Nuclear | 2: Coal | 3: Natural Gas | 99: dk,2,Coal,data/swepco-1996/codebook.txt,,
swepco-1996,knowledge_005,SETRT1,setrt,knowledge-5,Which agency sets electric rates in Texas?,questionnaire or source codebook,open coded,,1,PUC,data/swepco-1996/codebook.txt,Open answer coded into source categories; code 1 (Public Utility Commission) scored correct. Other codes scored incorrect. See R/respondent_utilities.R.,
uk-general-election-1997,knowledge_001,inflat1,inflat,knowledge-1,Had inflation been below five percent over the previous few years?,paraphrase of source label or questionnaire,true/false,True | False,1,True,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_002,intrst1,intrst,knowledge-2,Did the Bank of England decide interest rates?,paraphrase of source label or questionnaire,true/false,True | False,2,False,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_003,ukempl1,ukempl,knowledge-3,Was unemployment in the United Kingdom higher than in Germany?,paraphrase of source label or questionnaire,true/false,True | False,2,False,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_004,redstc1,redst_c,knowledge-4,Where was the Conservative Party on the income redistribution scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,1|2|3,Gov Do Nothing to Make Inc. = |  | ,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_005,taxc1,tax_c,knowledge-5,Where was the Conservative Party on the tax and public services scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,1|2|3,"Gov Spend Less, Cut Taxes Lot |  | ",data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_006,wagec1,wage_c,knowledge-6,Where was the Conservative Party on the minimum wage scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,1|2|3,Yes Min. Wage |  | ,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_007,euc1,eu_c,knowledge-7,Where was the Conservative Party on the European Union scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,1|2|3,Keep Distance from E.U. |  | ,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_008,redstl1,redst_l,knowledge-8,Where was the Labour Party on the income redistribution scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7, |  | Gov Try Hard Make Inc. =,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_009,taxl1,tax_l,knowledge-9,Where was the Labour Party on the tax and public services scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7," |  | Gov Spend Lot, Tax lot",data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_010,wagel1,wage_l,knowledge-10,Where was the Labour Party on the minimum wage scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7,"Positions 5, 6, 7",data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_011,eul1,eu_l,knowledge-11,Where was the Labour Party on the European Union scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7, |  | Unite with E.U.,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_012,redstld1,redst_ld,knowledge-12,Where were the Liberal Democrats on the income redistribution scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7, |  | Gov Try Hard Make Inc. =,data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_013,taxld1,tax_ld,knowledge-13,Where were the Liberal Democrats on the tax and public services scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7," |  | Gov Spend Lot, Tax lot",data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_014,wageld1,wage_ld,knowledge-14,Where were the Liberal Democrats on the minimum wage scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7,"Positions 5, 6, 7",data/uk-general-election-1997/variables.csv,,
uk-general-election-1997,knowledge_015,euld1,eu_ld,knowledge-15,Where were the Liberal Democrats on the European Union scale?,paraphrase of source label or questionnaire,placement scale,See source instrument for scale endpoints,5|6|7, |  | Unite with E.U.,data/uk-general-election-1997/variables.csv,,
uk-health-1998,knowledge_001,sopha1,a,knowledge-1,Was the standard National Health Service prescription charge ten pounds?,paraphrase of source label or questionnaire,true/false,True | False,0,false,data/uk-health-1998/variables.csv,,
uk-health-1998,knowledge_002,sophb1,b,knowledge-2,Was the proportion of older people in Britain increasing?,paraphrase of source label or questionnaire,true/false,True | False,1,true,data/uk-health-1998/variables.csv,,
uk-health-1998,knowledge_003,sophc1,c,knowledge-3,Had inflation-adjusted National Health Service spending doubled in the previous 20 years?,paraphrase of source label or questionnaire,true/false,True | False,1,true,data/uk-health-1998/variables.csv,,
uk-health-1998,knowledge_004,sophd1,d,knowledge-4,Did most people use private medical treatment instead of the National Health Service?,paraphrase of source label or questionnaire,true/false,True | False,0,false,data/uk-health-1998/variables.csv,,
uk-health-1998,knowledge_005,sophe1,e,knowledge-5,Did all British women receive free breast cancer screening from the National Health Service?,paraphrase of source label or questionnaire,true/false,True | False,0,false,data/uk-health-1998/variables.csv,,
uk-health-1998,knowledge_006,sophf1,f,knowledge-6,Was cosmetic surgery never available through the National Health Service?,paraphrase of source label or questionnaire,true/false,True | False,0,false,data/uk-health-1998/variables.csv,,
australia-republic-1999,knowledge_001,qrole1,qrole,knowledge-2,How was the Governor-General appointed under the existing monarchy?,paraphrase of source label or questionnaire,multiple choice,1: CHOOSES GOV GENERAL | 2: NO ROLE | 3: APPTS ON RECOMMEND OF PARLIAMENT | 4: APPTS ON ADVICE OF P.M. (correct) | 96: NONE | 97: DON'T KNOW,4,APPTS ON ADVICE OF P.M. (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_002,rempres1,rempres,knowledge-1,Could the prime minister remove the proposed president?,paraphrase of source label or questionnaire,multiple choice,1: ANYTIME W/O REPORT TO HOUSE | 2: ANYTIME W/ LATER HOUSE APPROVE (correct) | 3: AFTER FAIR TRIAL IN PARLIAMENT | 4: CANNOT REMOVE | 96: NONE | 97: DON'T KNOW,2,ANYTIME W/ LATER HOUSE APPROVE (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_003,ggrole1,ggrole,knowledge-3,Could the Governor-General dismiss the government?,paraphrase of source label or questionnaire,multiple choice,1: CONTROLS GOVERNMENT | 2: ACTS ON QUEEN'S INSTRUCTIONS | 3: PERFORMS ONLY CEREMONIAL DUTIES | 4: CAN DECIDE TO DISMISS GOVERNMENT (correct) | 96: NONE | 97: DON'T KNOW,4,CAN DECIDE TO DISMISS GOVERNMENT (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_004,presrol1,presrol,knowledge-4,Which existing office would the proposed president most resemble?,paraphrase of source label or questionnaire,multiple choice,1: BRITISH PRIME MINISTER | 2: AUSTRALIAN PRIME MINISTER | 3: AMERICAN PRESIDENT | 4: GOVERNOR GENERAL (correct) | 96: NONE | 97: DON'T KNOW,4,GOVERNOR GENERAL (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_005,welfare1,welfare,knowledge-6,Which party was more concerned with social and welfare issues?,paraphrase of source label or questionnaire,multiple choice,1: LIBERAL PARTY MORE | 2: EQUALLY CONCERNED | 3: LABOR PARTY MORE (correct) | 96: NONE | 97: NOT MUCH IMPRESSION/DONT KNOW,3,LABOR PARTY MORE (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_006,busines1,busines,knowledge-5,Which party was closer to business?,paraphrase of source label or questionnaire,multiple choice,1: LIBERAL PARTY MORE (correct) | 2: EQUALLY CLOSE | 3: LABOR PARTY MORE | 96: NONE | 97: NOT MUCH IMPRESSION/DON'T KNOW,1,LIBERAL PARTY MORE (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_007,ridgewy1,ridgewy,,What public office did Aden Ridgeway hold?,paraphrase of source label or questionnaire,multiple choice,1: LEADER OF FEDERAL OPPOSITION | 2: LEADER OF DEMOCRATS | 3: JUSTICE OF THE HIGH COURT | 4: ABORIGINAL SENATOR IN PARLIAMENT (correct) | 5: NONE OF THESE | 6: DONT KNOW | 97: DON'T KNOW,4,ABORIGINAL SENATOR IN PARLIAMENT (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_008,jgeorge1,jgeorge,,What public office did Jennie George hold?,paraphrase of source label or questionnaire,multiple choice,1: SECRETARY OF TEACHERS FEDERATION | 2: LABOR MEMBER OF FEDERAL PARLIAMENT | 3: LEADER OF WORKERS' UNION | 4: PRESIDENT OF ACTU (correct) | 5: NONE OF THESE | 97: DON'T KNOW,4,PRESIDENT OF ACTU (correct),data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_009,flagchg1,flagchg,knowledge-7,Would the Australian flag change under the proposed republic?,paraphrase of source label or questionnaire,multiple choice,1: NO | 2: YES,1,NO,data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_010,anthem1,anthem,knowledge-8,Would the national anthem change under the proposed republic?,paraphrase of source label or questionnaire,multiple choice,1: NO | 2: YES,1,NO,data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_011,wdroyal1,wdroyal,knowledge-9,Would use of the word Royal in military service names change under the proposed republic?,paraphrase of source label or questionnaire,multiple choice,1: NO | 2: YES,2,YES,data/australia-republic-1999/variables.csv,,
australia-republic-1999,knowledge_012,pargame1,pargame,knowledge-10,Would Australian participation in the Commonwealth Games change under the proposed republic?,paraphrase of source label or questionnaire,multiple choice,1: NO | 2: YES,1,NO,data/australia-republic-1999/variables.csv,,
denmark-euro-2000,knowledge_001,s_18,,knowledge-1,Could Denmark be fined for a large fiscal deficit as a member of the monetary union?,paraphrase of source label or questionnaire,multiple choice,1: true | 2: false | 3: don't know,1,true,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_002,s_19,,knowledge-2,Could Denmark set its own interest rates after joining the monetary union?,paraphrase of source label or questionnaire,multiple choice,1: true | 2: false | 3: don't know,2,false,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_003,s_20,,knowledge-3,Could Denmark set its own tax rates after joining the single currency?,paraphrase of source label or questionnaire,multiple choice,1: true | 2: false | 3: don't know,1,true,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_004,s_21,,knowledge-4,Would a yes vote in September 2000 cause euro notes and coins to circulate in 2001?,paraphrase of source label or questionnaire,multiple choice,1: 2001 | 2: 2004 (korrekt svar) | 3: 2005 | 4: 2007 | 5: don't know,2,2004 (korrekt svar),data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_005,s_22,,knowledge-5,What would happen to the Danish National Bank if Denmark joined the single currency?,paraphrase of source label or questionnaire,multiple choice,1: be close down | 2: continue to operate pretty much like now | 3: become part of european central bank | 4: don't know,3,become part of european central bank,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_006,s_23,,knowledge-6,Would euro coins have a national side?,paraphrase of source label or questionnaire,multiple choice,1: Yes | 2: no | 3: don't know,1,Yes,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_007,s_25_07,,knowledge-7,Did the Socialist People’s Party recommend a yes or no vote on adopting the euro?,paraphrase of source label or questionnaire,multiple choice,1: Recommend Yes | 2: Recommend No | 3: Don't know,2,Recommend No,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_008,s_25_09,,knowledge-8,Did the Christian People’s Party recommend a yes or no vote on adopting the euro?,paraphrase of source label or questionnaire,multiple choice,1: Recommend Yes | 2: Recommend No | 3: Don't know,2,Recommend No,data/denmark-euro-2000/variables.csv,,
denmark-euro-2000,knowledge_009,s_25_11,,knowledge-9,Did the Progress Party recommend a yes or no vote on adopting the euro?,paraphrase of source label or questionnaire,multiple choice,1: Recommend Yes | 2: Recommend No | 3: Don't know,2,Recommend No,data/denmark-euro-2000/variables.csv,,
nic2-2003,knowledge_001,wrm3_b,democratic,,Where did the Democratic Party stand on the global warming action scale?,paraphrase of source label or questionnaire,placement scale,98: don't know,6|7|8|9|10,Above midpoint,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_002,wrm3_c,republican,,Where did the Republican Party stand on the global warming action scale?,paraphrase of source label or questionnaire,placement scale,98: don't know,0|1|2|3|4,Below midpoint,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_003,aid3,aid3,,"Did President Bush want to increase, decrease, or maintain foreign aid?",paraphrase of source label or questionnaire,multiple choice,1: increase | 2: decrease | 3: keep it the same | 4: haven't heard anything about this | 8: don't know,1,increase,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_004,wrm5,wrm5,,Did President Bush support recent international agreements to control greenhouse gases?,paraphrase of source label or questionnaire,multiple choice,1: supports | 3: opposes | 5: haven't heard anything about this | 8: don't know,3,opposes,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_005,kno1_a,kno1_a,,How much of each $100 in the federal budget went to military spending?,paraphrase of source label or questionnaire,multiple choice,1: 1 dollar | 2: 5 dollars | 3: 10 dollars | 4: 20 dollars | 5: 30+ dollars | 6: not much idea | 7: vol: other amount (specify) | 8: don't know,4,20 dollars,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_006,kno1_b,kno1_b,,How much of each $100 in the federal budget went to foreign aid?,paraphrase of source label or questionnaire,multiple choice,1: 1 dollar | 2: 5 dollars | 3: 10 dollars | 4: 20 dollars | 5: 30+ dollars | 6: not much idea | 7: vol: other amount (specify) | 8: don't know,1,1 dollar,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_007,kno2_a,kno2_a,,How much of each $100 of United States output was sold abroad?,paraphrase of source label or questionnaire,multiple choice,1: 4 dollars | 2: 8 dollars | 3: 12 dollars | 4: 24+ dollars | 5: not much idea | 7: vol: other amount (specify) | 8: don't know,3,12 dollars,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_008,kno2_b,kno2_b,,About how many adults per 100 in the most affected African countries had HIV/AIDS?,paraphrase of source label or questionnaire,multiple choice,1: fewer than 5 out of 100 | 2: about 10 of 100 | 3: about 20 of 100 | 4: 30+ out of 100 | 5: not much idea | 7: vol: other amount (specify) | 8: don't know,4,30+ out of 100,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_009,kno3_a,kno3_a,,Did the United States have a veto over World Trade Organization decisions?,paraphrase of source label or questionnaire,multiple choice,1: true | 5: false | 8: don't know,5,false,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_010,kno3_b,kno3_b,,Did the United States have a veto on the United Nations Security Council?,paraphrase of source label or questionnaire,multiple choice,1: true | 5: false | 8: don't know,1,true,data/nic2-2003/variables.csv,,
nic2-2003,knowledge_011,wrm1_b,wrm1_b,,What was the main cause of global warming?,paraphrase of source label or questionnaire,multiple choice,1: human activities | 2: natural changes | 3: not occurring at all | 4: haven't thought much about this | 8: don't know,1,human activities,data/nic2-2003/variables.csv,,
btp-national-2003,knowledge_001,qb15b,democratic,,Where did the Democratic Party stand on a 0–10 scale from doing nothing about global warming to acting now?,paraphrase of source label or questionnaire,placement scale,0–10 scale: 0 = do nothing | 5 = midway | 10 = act now,6|7|8|9|10,Above midpoint,data/btp-national-2003/questionnaires/btp-national-questionnaire.pdf,,
btp-national-2003,knowledge_002,qb15c,republican,,Where did the Republican Party stand on a 0–10 scale from doing nothing about global warming to acting now?,paraphrase of source label or questionnaire,placement scale,0–10 scale: 0 = do nothing | 5 = midway | 10 = act now,0|1|2|3|4,Below midpoint,data/btp-national-2003/questionnaires/btp-national-questionnaire.pdf,,
btp-national-2003,knowledge_003,qb26,26,,"Did President Bush want to increase, decrease, or maintain foreign aid?",paraphrase of source label or questionnaire,multiple choice,1: increase | 2: decrease | 3: keep it the same | 4: haven't heard anything about this,1,increase,data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_004,qb18,18,,Did President Bush support recent international agreements to control greenhouse gases?,paraphrase of source label or questionnaire,multiple choice,1: supports | 2: opposes | 3: haven't heard anything about this,2,opposes,data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_005,qb40,40,,How much of each $100 in the federal budget went to military spending?,paraphrase of source label or questionnaire,multiple choice,"1: 1 dollar, | 2: 5 dollars, | 3: 10 dollars, | 4: 20 dollars, | 5: 30 dollars or more, or | 6: don't you have much idea about that?",4,"20 dollars,",data/btp-national-2003/variables.csv,,
