poll_id,source_id,archive_path,source_sha256,source_rows,source_columns,public_path,transformation,publication_status,review_note
btp-general-election-2004,cdd-btp-general-election-2004-survey,data/BTP/2004GE/data/2004 online GE_hlm.dta,76016b95a033116438df905b5ca3540e020dbafa7f275e97df31342c9416a2e2,299,1097,data/btp-general-election-2004/survey.dta,exact-copy,approved-public,Numeric poll-level responses and coded demographics; disclosure review completed
btp-health-education-2005,cdd-btp-health-education-2005-survey,data/BTP/2005/data/btp05_hlm.dta,0ac4885083845e14a7ef86bcf8c700bb2276e1a76f92fdd059dff91176233d8d,454,840,data/btp-health-education-2005/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
btp-online-primaries-2004,cdd-btp-online-primaries-2004-survey,data/BTP/2004OnlinePrimaries/data/2004 online primaries_hlm.dta,c51aa34b351e1e1726658f6adb415a3743bd2b4cd53e1d71222a857de98b9ebe,1289,1575,data/btp-online-primaries-2004/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
bulgaria-crime-2002,cdd-bulgaria-crime-2002-survey,data/Bulgaria/data/bulgaria.sav,88502e432e20f6600423c44632ca8753435748af9721d6b1ec867a0357ad133f,278,533,data/bulgaria-crime-2002/survey.sav,exact-copy,approved-public,Numeric poll-level responses and coded demographics; disclosure review completed
california-whats-next-2011,cdd-california-whats-next-2011-survey,data/California/data/California_Merged_t1-t2-t3_6-28-11.dta,3380ab8d30715f991daa640788f320d3e19ebe331f744bddcc5933dbe54314dd,472,342,data/california-whats-next-2011/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
europolis-2009,cdd-europolis-2009-survey,data/eu_2009/europe_data/EUROPOLIS-DATA-NEW-OCT-2010.sav,e91478e230cb2ebe74771da6ac25d3f27c5d31104724c18724ef4b16a427d43e,4384,444,data/europolis-2009/survey.sav,exact-copy,approved-public,Numeric poll-level responses and coded demographics; disclosure review completed
nic-1996,cdd-nic-1996-survey,data/nic_1/Data_revised/nic123_r.sav,8b66c535ce37f78037d70b779f422b074038a972f32d5da2d70706824eedc6f4,911,428,data/nic-1996/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
tomorrows-europe-2007,cdd-tomorrows-europe-2007-survey,data/eu_2007/eu.sav,b6d9c325b0aa78de71c7bf1e9b562eec54f50f781cc14df310c2530a2ab8bf86,3550,1625,data/tomorrows-europe-2007/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
vermont-energy-2007,cdd-vermont-energy-2007-survey,data/Vermont/data/vt.sav,eed94b5323824bf4d598b405923f2e8f9422cb864111f6d226b6bcdc53b9fefa,750,306,data/vermont-energy-2007/survey.sav,exact-copy,approved-public,Numeric poll-level responses and coded demographics; disclosure review completed
san-mateo-2008,cdd-san-mateo-2008-survey,data/san_mateo/smdp 3-18-08.dta,f0cb462fee3760bacc8c81bcca58c61da54fad9637968cbc001880574ef1ef93,1806,330,data/san-mateo-2008/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
michigan-2009,cdd-michigan-2009-survey,data/Michigan/data/mifin.dta,884ee83809a5f86012ee243c38266f8215addf8416c32b5e1eb3dc319af369e3,610,358,data/michigan-2009/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
denmark-euro-2000,cdd-denmark-euro-2000-survey,data/Denmark/data/t0english.sav,ec3821431a519ef2fcfc89533a4887afc3bfafb82801146b6032cb8de6ea51a8,1702,112,data/denmark-euro-2000/survey.parquet,exclude-verbatim,approved-redacted,Named text/contact fields excluded; reviewed categorical knowledge text and group codes retained where specified
