poll_id,source_column,reason
northern-ireland-2007,t2q21a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t2q21b5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q18b5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q19b5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q20b5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21a1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21a2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21a3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21a4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21a5,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21b1,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21b2,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21b3,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21b4,Verbatim response retained in local archive pending disclosure review
northern-ireland-2007,t3q21b5,Verbatim response retained in local archive pending disclosure review
btp-2007,screenname,Contact or nonessential text field retained only in local archive
btp-2007,mod1,Contact or nonessential text field retained only in local archive
btp-2007,mod2,Contact or nonessential text field retained only in local archive
btp-2007,mod3,Contact or nonessential text field retained only in local archive
btp-2007,mod4,Contact or nonessential text field retained only in local archive
btp-2007,race_other,Contact or nonessential text field retained only in local archive
btp-2007,rm1,Contact or nonessential text field retained only in local archive
btp-2007,rm2,Contact or nonessential text field retained only in local archive
btp-2007,rm3,Contact or nonessential text field retained only in local archive
btp-health-education-2005,q44post,Contact or nonessential text field retained only in local archive
btp-health-education-2005,q45post,Contact or nonessential text field retained only in local archive
btp-health-education-2005,city,Contact or nonessential text field retained only in local archive
btp-health-education-2005,zip,Contact or nonessential text field retained only in local archive
btp-health-education-2005,username,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,username,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,b1q38,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,f1q49a,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,f1q49b,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,f1q49c,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,f1q49d,Contact or nonessential text field retained only in local archive
btp-online-primaries-2004,transcriptname,Contact or nonessential text field retained only in local archive
california-whats-next-2011,q64oth,Contact or nonessential text field retained only in local archive
california-whats-next-2011,q70oth,Contact or nonessential text field retained only in local archive
california-whats-next-2011,q72oth,Contact or nonessential text field retained only in local archive
california-whats-next-2011,fname,Contact or nonessential text field retained only in local archive
california-whats-next-2011,lname,Contact or nonessential text field retained only in local archive
california-whats-next-2011,variabl0,Contact or nonessential text field retained only in local archive
california-whats-next-2011,city,Contact or nonessential text field retained only in local archive
california-whats-next-2011,zipcode,Contact or nonessential text field retained only in local archive
california-whats-next-2011,phone,Contact or nonessential text field retained only in local archive
california-whats-next-2011,email,Contact or nonessential text field retained only in local archive
nic-1996,OCCUPAT1,Contact or nonessential text field retained only in local archive
nic-1996,HSTPOTH,Contact or nonessential text field retained only in local archive
nic-1996,SAQOTH,Contact or nonessential text field retained only in local archive
nic-1996,Q40_OTHE,Contact or nonessential text field retained only in local archive
nic-1996,Q45_OTHE,Contact or nonessential text field retained only in local archive
tomorrows-europe-2007,part,Contact or nonessential text field retained only in local archive
tomorrows-europe-2007,source,Contact or nonessential text field retained only in local archive
tomorrows-europe-2007,coder_name,Contact or nonessential text field retained only in local archive
san-mateo-2008,CITY,Contact or nonessential text field retained only in local archive
san-mateo-2008,ZCODE,Contact or nonessential text field retained only in local archive
san-mateo-2008,ALTPHN,Contact or nonessential text field retained only in local archive
san-mateo-2008,BSTTIM,Contact or nonessential text field retained only in local archive
san-mateo-2008,COMMENT1,Contact or nonessential text field retained only in local archive
san-mateo-2008,SRVYINV,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q128OTHER,Contact or nonessential text field retained only in local archive
san-mateo-2008,INTDATE,Contact or nonessential text field retained only in local archive
san-mateo-2008,PHNNUM,Contact or nonessential text field retained only in local archive
san-mateo-2008,QSTGRP,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q1I,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q2I,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q3I,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q4I,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q7I,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q8I,Contact or nonessential text field retained only in local archive
san-mateo-2008,Q9I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q1I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q2I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q3I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q4I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q7I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q8I,Contact or nonessential text field retained only in local archive
san-mateo-2008,t2Q9I,Contact or nonessential text field retained only in local archive
michigan-2009,q26oth,Contact or nonessential text field retained only in local archive
michigan-2009,q32oth,Contact or nonessential text field retained only in local archive
michigan-2009,q40oth,Contact or nonessential text field retained only in local archive
michigan-2009,q42oth,Contact or nonessential text field retained only in local archive
michigan-2009,city,Contact or nonessential text field retained only in local archive
michigan-2009,st,Contact or nonessential text field retained only in local archive
michigan-2009,zipcode,Contact or nonessential text field retained only in local archive
michigan-2009,fname,Contact or nonessential text field retained only in local archive
michigan-2009,lname,Contact or nonessential text field retained only in local archive
michigan-2009,variabl0,Contact or nonessential text field retained only in local archive
michigan-2009,phone1,Contact or nonessential text field retained only in local archive
michigan-2009,phone2,Contact or nonessential text field retained only in local archive
michigan-2009,email,Contact or nonessential text field retained only in local archive
michigan-2009,coder_initials_x,Contact or nonessential text field retained only in local archive
michigan-2009,t3q16,Contact or nonessential text field retained only in local archive
michigan-2009,t3q17,Contact or nonessential text field retained only in local archive
michigan-2009,t3q18,Contact or nonessential text field retained only in local archive
michigan-2009,t3q19,Contact or nonessential text field retained only in local archive
michigan-2009,t3q45,Contact or nonessential text field retained only in local archive
michigan-2009,t3q46,Contact or nonessential text field retained only in local archive
michigan-2009,t3q47,Contact or nonessential text field retained only in local archive
michigan-2009,t3q48,Contact or nonessential text field retained only in local archive
michigan-2009,t3q49oth,Contact or nonessential text field retained only in local archive
michigan-2009,coder_initials_y,Contact or nonessential text field retained only in local archive
michigan-2009,t2filter_late,Contact or nonessential text field retained only in local archive
michigan-2009,t2q16,Contact or nonessential text field retained only in local archive
michigan-2009,t2q17,Contact or nonessential text field retained only in local archive
michigan-2009,t2q18,Contact or nonessential text field retained only in local archive
michigan-2009,t2q19,Contact or nonessential text field retained only in local archive
michigan-2009,t2q26a,Contact or nonessential text field retained only in local archive
michigan-2009,t2q33b,Contact or nonessential text field retained only in local archive
michigan-2009,t2q38,Contact or nonessential text field retained only in local archive
michigan-2009,t2q39,Contact or nonessential text field retained only in local archive
michigan-2009,t2q40,Contact or nonessential text field retained only in local archive
michigan-2009,t2q41,Contact or nonessential text field retained only in local archive
michigan-2009,t2q42,Contact or nonessential text field retained only in local archive
michigan-2009,t2q49,Contact or nonessential text field retained only in local archive
michigan-2009,t2q50,Contact or nonessential text field retained only in local archive
michigan-2009,t2q51,Contact or nonessential text field retained only in local archive
michigan-2009,t2q51oth,Contact or nonessential text field retained only in local archive
michigan-2009,c135,Contact or nonessential text field retained only in local archive
denmark-euro-2000,kommunen,Contact or nonessential text field retained only in local archive
denmark-euro-2000,amt,Contact or nonessential text field retained only in local archive
