poll_id,field,value,reference_id,source_locator,status,notes
cpl-1996,event_dates,1996-05-31 through 1996-06-02,us-cpl-1996-material-eabf0fc4da9a721a-cpl-1996,Design description,conflicting,Research manuscript includes Friday arrival; NREL report lists June 1–2 meeting. Preserve distinct bounds.
wtu-1996,location,"Abilene, Texas",us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,organizers,"West Texas Utilities; deliberative research team Luskin, Fishkin, Plane; utility process in cooperation with Texas regulators",us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,population,West Texas Utilities residential customers in its service territory,us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,recruitment,Random customer telephone interview followed by invitation; agreement and attendance honoraria; travel/lodging support,us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,participants,1230 initial interviews; 230 post-deliberation interviews/participants,us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,mode,Face-to-face weekend; randomized small discussion groups and plenary expert panels,us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,topics,"Electricity supply choices, conservation/efficiency, renewable energy, prices and low-income customer assistance",us-wtu-1996-material-eabf0fc4da9a721a-wtu-1996,Design description and Table 1: Response and Participation Rates,reported,
wtu-1996,event_dates,1996-08-09 through 1996-08-10,us-wtu-1996-material-ee96cf90494a2ada-wtu-1996,"NREL/TP-620-33177, footnote listing individual utility customer-survey reports",reported,
swepco-1996,location,"Shreveport, Louisiana",us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,organizers,"Southwestern Electric Power Company; deliberative research team Luskin, Fishkin, Plane; utility process in cooperation with Texas regulators",us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,population,Southwestern Electric Power Company residential customers in its service territory,us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,recruitment,Random customer telephone interview followed by invitation; agreement and attendance honoraria; travel/lodging support,us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,participants,1478 initial interviews; 232 post-deliberation interviews/participants,us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,mode,Face-to-face weekend; randomized small discussion groups and plenary expert panels,us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,topics,"Electricity supply choices, conservation/efficiency, renewable energy, prices and low-income customer assistance",us-swepco-1996-material-eabf0fc4da9a721a-swepco-1996,Design description and Table 1: Response and Participation Rates,reported,
swepco-1996,event_dates,1996-08-23 through 1996-08-25,us-swepco-1996-material-ee96cf90494a2ada-swepco-1996,"NREL/TP-620-33177, footnote listing individual utility customer-survey reports",reported,
nic2-2003,event_dates,2003-01-10 through 2003-01-12,us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,location,"Philadelphia, Pennsylvania, United States",us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,organizers,By the People; national PBS broadcast,us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,population,United States adult public,us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,recruitment,National representative random sample invited to a deliberative weekend,us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,mode,Face-to-face small groups and plenary expert/policymaker questions,us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,topics,United States role in world affairs; foreign policy and national security,us-nic2-2003-stanford-event,Event description,reported,
nic2-2003,participants,Opening says more than 300; later paragraph says over 350 gathered,us-nic2-2003-stanford-event,Opening two paragraphs,conflicting,Neither phrase gives an exact completed-questionnaire count.
nic2-2003,participants,343 American citizens aged 18+ in Philadelphia,us-nic2-2003-material-dd722fd627b2e9f0-nic2-2003,"Brookings Review, Summer 2003, pp 16–19",conflicting,Brookings event commentary reports 343; archived research appendix/polardata 340 is a different analysis count.
nic2-2003,participants,340 in Foreign Policy row of comparative research Table 1,us-nic2-2003-material-7ad6c3c2eb5f0731-nic2-2003,Table 1,reported,Analysis denominator; do not relabel as total attendance.
btp-national-2003,event_dates,Mid-December 2002 through mid-January 2003; four weeks,us-btp-national-2003-primaries-methods-cross-reference,"Research manuscript pp 5–6, description of veteran participants",reported,
btp-national-2003,location,United States national online sample; no single physical venue,us-btp-national-2003-primaries-methods-cross-reference,"Research manuscript pp 5–6, description of veteran participants",reported,
btp-national-2003,population,Adult Americans in Knowledge Networks national probability panel,us-btp-national-2003-primaries-methods-cross-reference,"Research manuscript pp 5–6, description of veteran participants",reported,
btp-national-2003,recruitment,"Knowledge Networks panel originally recruited by telephone, with internet equipment/access for nonusers",us-btp-national-2003-primaries-methods-cross-reference,"Research manuscript pp 5–6, description of veteran participants",reported,
btp-national-2003,mode,Online deliberation,us-btp-national-2003-primaries-methods-cross-reference,"Research manuscript pp 5–6, description of veteran participants",reported,
btp-national-2003,topics,"American foreign policy, excluding the later presidential nomination campaign",us-btp-national-2003-primaries-methods-cross-reference,"Research manuscript pp 5–6, description of veteran participants",reported,
btp-national-2003,participants,247 veterans of prior foreign-policy online poll invited into 2004 primaries experiment,us-btp-national-2003-primaries-methods-cross-reference,pp 5–6,reported,"This is a recontact/invitation count, not established as all original attendees."
btp-national-2003,organizers,Stanford Political Communication Lab; Knowledge Networks; Online NewsHour expert-answer partnership,us-btp-national-2003-material-90cbc9c9cb25b21c-btp-national-2003,"Design, manuscript pp 9–10",reported,"The online manuscript identifies administering, sampling and expert-answer partners separately."
btp-national-2003,event_dates,2002-12-09 through 2003-01-16; four weeks of twice-weekly one-hour sessions,us-btp-national-2003-material-90cbc9c9cb25b21c-btp-national-2003,"Design, manuscript pp 9–10",reported,Manuscript describes weeks December 9–13 and January 7–16; retain exact source wording for final-session reconciliation.
btp-national-2003,participants,280 treatment respondents and 219 control respondents supplied by Knowledge Networks,us-btp-national-2003-material-90cbc9c9cb25b21c-btp-national-2003,"Design, manuscript pp 9–10",reported,Completed-sample counts in the comparative manuscript; distinguish from assigned pools and historical HLM sample.
btp-national-2003,mode,"Online voice using Lotus Sametime, randomly assigned moderated small groups",us-btp-national-2003-material-90cbc9c9cb25b21c-btp-national-2003,"Design, manuscript pp 9–10",reported,Design description distinguishes synchronous audio from text-based discussion.
btp-national-2003,participants,283 in Foreign Policy (Online) row,us-btp-national-2003-material-7ad6c3c2eb5f0731-btp-national-2003,Table 1,conflicting,Comparative research analysis count differs from 245 historical HLM records; preserve universes.
btp-national-2003,participants,245 historical analysis respondents,us-btp-national-2003-material-7731a4ce1a2d98a7-btp-national-2003,Row BTP 2003,reported,"Source selected-sample size, not total online attendance."
btp-online-primaries-2004,event_dates,Five weekly sessions beginning 2004-01-19; through mid-February 2004,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,location,United States national online sample,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,organizers,"Stanford research team Iyengar, Luskin and Fishkin; Knowledge Networks panel/recruitment",us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,population,Adult Americans; manuscript analysis focuses on Democrats and independents,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,recruitment,755 randomly sampled Knowledge Networks adults plus 247 veterans of prior foreign-policy poll; panel recruited by telephone and supplied access when needed,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,participants,"385 agreed; 317 completed pre-survey; 284 completed post-survey; 180 Democrats/independents analyzed (75 veterans,105 novices). Separate control: 762 invited,546 pre,460 post",us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,mode,Moderated online voice discussions; five weekly sessions,us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-online-primaries-2004,topics,"2004 presidential nominations, candidate positions, foreign policy, economy and health care",us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,event_dates,Five weekly sessions beginning 2004-01-19; through mid-February 2004,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,location,United States national online sample,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,organizers,"Stanford research team Iyengar, Luskin and Fishkin; Knowledge Networks panel/recruitment",us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,population,Adult Americans; manuscript analysis focuses on Democrats and independents,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,recruitment,755 randomly sampled Knowledge Networks adults plus 247 veterans of prior foreign-policy poll; panel recruited by telephone and supplied access when needed,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,participants,"385 agreed; 317 completed pre-survey; 284 completed post-survey; 180 Democrats/independents analyzed (75 veterans,105 novices). Separate control: 762 invited,546 pre,460 post",us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,mode,Moderated online voice discussions; five weekly sessions,us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,topics,"2004 presidential nominations, candidate positions, foreign policy, economy and health care",us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,Research manuscript pp 5–10; design and online sessions,reported,Two catalog IDs describe related source variants/cohorts. Shared paper does not justify merging IDs or treating every denominator as identical.
btp-presidential-primaries-2004,participants,217 historical selected respondents,us-btp-presidential-primaries-2004-material-7731a4ce1a2d98a7-btp-presidential-primaries-2004,Row BTP 2004 Pr.,reported,Stricter historical selected sample; differs from paper 284 post/180 party-restricted analysis.
btp-general-election-2004,event_dates,Five weekly 75-minute discussions leading to 2004-10-16,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,location,United States national online sample,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,organizers,By the People; Stanford Center for Deliberative Democracy; Knowledge Networks; PBS Deliberation Day,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,population,United States voters sampled nationally,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,recruitment,Knowledge Networks national random sample; WebTV/computer and internet access supplied where needed,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,participants,Approximately 200 deliberators and 700 controls; more than 900 total in online experiment,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,mode,Online voice rather than text; moderated small groups,us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,topics,"Presidential election, national security and global economic policy",us-btp-general-election-2004-material-6a7c1093a7155f60-btp-general-election-2004,"The Process, p 1 and footnotes",reported,
btp-general-election-2004,participants,299 General Election (2004) respondents in comparative research table,us-btp-general-election-2004-material-7ad6c3c2eb5f0731-btp-general-election-2004,Table 1: General Election (2004),conflicting,Research-table sample precedes historical exclusions; separate appendix documents 246 final analysis records.
btp-general-election-2004,event_dates,Official overview is timestamped 2003-10-16 but describes 2004 election and 2004 candidates,us-btp-general-election-2004-stanford-event,Page title/date and Vote 2004 section,conflicting,Do not use migrated page timestamp as event year.
new-haven-2004,event_dates,2002-03-01 through 2002-03-03,us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,location,"New Haven, Connecticut, and surrounding towns",us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,population,Residents of New Haven and surrounding towns,us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,recruitment,Initial telephone interview sample; attendees sent briefing materials and paid $200 after final questionnaire,us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,participants,"1,032 initial interviewees; 133 attended; 132 in reported split-half analysis (64 airport-first, 68 revenue-sharing-first)",us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,mode,Face-to-face; 16 randomized groups; randomized order of two discussion topics,us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,topics,Local airport service/expansion and regional sharing of property-tax revenue from new commercial development,us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Farrar et al.2010, printed p 339, Design",reported,
new-haven-2004,event_dates,"Archive appendix says 2004, March 1–3",us-new-haven-2004-material-7731a4ce1a2d98a7-new-haven-2004,Row New Haven,conflicting,Direct conflict with peer-reviewed paper 2002; catalog ID unchanged. Separate 2004 PBS foreign-policy New Haven event must not be substituted.
new-haven-2004,organizers,"Research team Farrar, Fishkin, Green, List, Luskin and Paluck; Yale ISPS and Community Foundation for Greater New Haven support",us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,"Acknowledgments, printed p 333",reported,Research and funding/support roles; see acknowledgments for full funder list.
btp-health-education-2005,event_dates,September–October 2005; five weekly discussions,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,location,National online experiment; separate local deliberations in 15 cities,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,organizers,By the People/MacNeil-Lehrer Productions; Stanford CDD; Polimetrix for online sample,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,population,Adult Americans in national online experiment,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,recruitment,Scientific national online experiment; reviewed report does not fully specify frame/recruitment probabilities,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,participants,"More than 1,000 adults in national experiment as described by report; do not treat as count of deliberators alone",us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,mode,Online weekly moderated small groups; parallel face-to-face city events are a distinct universe,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,topics,Health-care policy and education policy,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005,"Opening and methods description, p 1",reported,
btp-health-education-2005,participants,454 historical selected online respondents,us-btp-health-education-2005-material-7731a4ce1a2d98a7-btp-health-education-2005,Row BTP 2005,reported,Historical analysis count; broader experiment and local city events excluded.
btp-health-education-2005,event_dates,"Archive appendix lists October 22–29, 2005",us-btp-health-education-2005-material-7731a4ce1a2d98a7-btp-health-education-2005,Row BTP 2005,conflicting,Short date interval does not describe full five-week September–October online treatment reported by event release.
vermont-energy-2007,event_dates,2007-11-03 through 2007-11-04,us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,location,"Burlington, Vermont; Sheraton Hotel and conference setting",us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,organizers,"Vermont Department of Public Service; Center for Deliberative Opinion Research, University of Texas at Austin",us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,population,Vermont adult household residents,us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,recruitment,"RDD telephone sample; adult selected by most recent birthday; OSR, then NSON; long-form interview-before-invitation changed to short-form invitation-before-interview; lodging and $150 honorarium",us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,participants,"750 interviewed/invited (243 OSR,507 NSON); 152 attended Burlington",us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,mode,Face-to-face two-day deliberative poll,us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
vermont-energy-2007,topics,"Future electricity supply: efficiency, wind, nuclear, hydro, existing contracts and centralized/distributed generation",us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007,Executive summary; Sampling and Recruitment pp 6–8; Deliberative Weekend,reported,
btp-2007,event_dates,Four weeks in fall 2007; exact session dates not given in reviewed report,us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,location,United States national online sample,us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,organizers,By the People and Colonial Williamsburg Foundation; Stanford CDD and YouGov America,us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,population,Nationally representative sample of United States citizens,us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,recruitment,National sample randomly assigned to deliberation or survey-only control; panel details not specified in reviewed report,us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,participants,"301 deliberators and 1,000 survey-only controls; over 1,300 in experiment",us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,mode,Online weekly audio-chat discussions,us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
btp-2007,topics,"Political participation, electoral choice, becoming informed and public service",us-btp-2007-material-15325174029c8c47-btp-2007,"Opening and methods paragraphs, p 1",reported,
san-mateo-2008,event_dates,2008-03-15 through 2008-03-16,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,location,"Cañada College, Redwood City, San Mateo County, California",us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,organizers,Threshold 2008; host Cañada College,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,population,San Mateo County residents,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,recruitment,Scientific random sample; attendees received $200 honorarium,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,participants,238 deliberative participants; approximately 400 total attendees including moderators/experts/others,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,mode,Face-to-face small groups and expert question-and-answer sessions,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,topics,"Housing supply, density, regional coordination, transportation and housing location",us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008,"March 25, 2008 pressrelease, pp 1–2",reported,
san-mateo-2008,participants,239 historical analysis records,us-san-mateo-2008-material-7731a4ce1a2d98a7-san-mateo-2008,Row San Mateo,conflicting,One more than official report 238; unexplained until source roster/instrument review.
michigan-2009,event_dates,2009-11-13 through 2009-11-15,us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,location,"Lansing, Michigan",us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,organizers,By the People/MacNeil-Lehrer Productions and Stanford CDD; funded by W. K. Kellogg Foundation; Michigan public television partners,us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,population,Michigan residents statewide,us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,recruitment,Random representative statewide sample; report overview does not detail complete recruitment frame,us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,participants,314 deliberating participants in report results section,us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,mode,Face-to-face statewide weekend with moderated small groups and expert plenaries,us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,topics,"Economy, budget choices, taxes, education, poverty and green-economy policy",us-michigan-2009-material-bb554247c8bade38-michigan-2009,About the project p 2; Results p 3,reported,
michigan-2009,event_dates,Official event page timestamp 2010-01-18 refers to television broadcast/results release,us-michigan-2009-stanford-event,Opening paragraph,reported,"Event itself was November 2009, as final report states; avoid moving poll year."
california-whats-next-2011,location,"Torrance, California",us-california-whats-next-2011-deliberative-agenda-setting,Piloting a Design for Deliberative Agenda Setting in California,reported,
california-whats-next-2011,population,California registered voters,us-california-whats-next-2011-deliberative-agenda-setting,Piloting a Design for Deliberative Agenda Setting in California,reported,
