poll_id,material_type,status,notes,checked_references
new-haven-2004,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-new-haven-2004-cdd-new-haven-2004-survey-source-materials-baseline-cati-txt;us-new-haven-2004-cdd-new-haven-2004-survey-source-materials-field-questionnaire-doc;us-new-haven-2004-cdd-new-haven-2004-survey-source-materials-questionnaire-1-xls;us-new-haven-2004-cdd-new-haven-2004-survey-source-materials-questionnaire-2-xls
new-haven-2004,briefing-materials,not-found,"No poll-specific document verified after reviewing local artifact catalog, archival metadata appendix and official event/material pages plus targeted paper search. This is not evidence that no document exists.",us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004;us-new-haven-2004-material-7731a4ce1a2d98a7-new-haven-2004;us-new-haven-2004-farrar2010;us-new-haven-2004-jpal-event
new-haven-2004,event-reports,external-only,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-new-haven-2004-jpal-event
new-haven-2004,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004;us-new-haven-2004-farrar2010
new-haven-2004,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-new-haven-2004-material-14f09619eb8626fc-new-haven-2004;us-new-haven-2004-material-e0ff5cf4f836a41b-new-haven-2004;us-new-haven-2004-material-9408908108592c63-new-haven-2004;us-new-haven-2004-material-7af1872d80219bc0-new-haven-2004;us-new-haven-2004-cdd-new-haven-2004-survey-historical-ids-csv;us-new-haven-2004-cdd-new-haven-2004-survey-value-labels-csv;us-new-haven-2004-cdd-new-haven-2004-survey-variables-csv
btp-health-education-2005,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-health-education-2005-cdd-btp-health-education-2005-questionnaire-pre;us-btp-health-education-2005-cdd-btp-health-education-2005-questionnaire-post;us-btp-health-education-2005-material-a5ff547ec303d781-btp-health-education-2005
btp-health-education-2005,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-health-education-2005-material-4163f7e9106b2ce3-btp-health-education-2005;us-btp-health-education-2005-material-0faa7eba55720f6b-btp-health-education-2005
btp-health-education-2005,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005;us-btp-health-education-2005-stanford-event
btp-health-education-2005,papers,not-found,"Official page labels results under research, but local document is a press/results release. Related 2005 education papers about individual cities are not automatically national-online-poll analyses.",us-btp-health-education-2005-material-7731a4ce1a2d98a7-btp-health-education-2005;us-btp-health-education-2005-material-e60d75d559b532ae-btp-health-education-2005;us-btp-health-education-2005-stanford-event
btp-health-education-2005,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-btp-health-education-2005-cdd-btp-health-education-2005-survey-variables;us-btp-health-education-2005-cdd-btp-health-education-2005-survey-value-labels;us-btp-health-education-2005-material-14f09619eb8626fc-btp-health-education-2005;us-btp-health-education-2005-material-e0ff5cf4f836a41b-btp-health-education-2005;us-btp-health-education-2005-material-9408908108592c63-btp-health-education-2005;us-btp-health-education-2005-material-7af1872d80219bc0-btp-health-education-2005
vermont-energy-2007,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-vermont-energy-2007-cdd-vermont-energy-2007-questionnaire-post-key;us-vermont-energy-2007-cdd-vermont-energy-2007-questionnaire-pre
vermont-energy-2007,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-vermont-energy-2007-material-47b6df15a654578f-vermont-energy-2007;us-vermont-energy-2007-vermont-energy-briefing
vermont-energy-2007,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-vermont-energy-2007-material-4710440da6eb03c4-vermont-energy-2007;us-vermont-energy-2007-stanford-event
vermont-energy-2007,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-vermont-energy-2007-material-e64dd7d44feac2a2-vermont-energy-2007;us-vermont-energy-2007-taking-it-to-the-streets-2008
vermont-energy-2007,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-vermont-energy-2007-cdd-vermont-energy-2007-survey-variables;us-vermont-energy-2007-cdd-vermont-energy-2007-survey-value-labels
btp-2007,questionnaires,available,Complete Questionnaire Text section inside original codebook.pdf; no separate duplicate instrument needed.,us-btp-2007-material-15325174029c8c47-btp-2007;us-btp-2007-stanford-event;us-btp-2007-embedded-questionnaire;us-btp-2007-cdd-btp-2007-codebook
btp-2007,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-2007-material-37d5cbb761443373-btp-2007;us-btp-2007-citizenship-briefing
btp-2007,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-btp-2007-material-15325174029c8c47-btp-2007;us-btp-2007-stanford-event
btp-2007,papers,not-found,"Reviewed local archive, official event/results/material pages and targeted research searches; no directly verified poll-specific empirical research paper retrieved.",us-btp-2007-material-15325174029c8c47-btp-2007;us-btp-2007-stanford-event
btp-2007,codebooks,available,"Original authored codebook contains Study Description, sample selection/weighting, variable documentation and full questionnaire text.",us-btp-2007-cdd-btp-2007-survey-variables;us-btp-2007-cdd-btp-2007-survey-value-labels;us-btp-2007-cdd-btp-2007-codebook
san-mateo-2008,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-san-mateo-2008-cdd-san-mateo-2008-questionnaire-pre;us-san-mateo-2008-cdd-san-mateo-2008-questionnaire-post
san-mateo-2008,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-san-mateo-2008-material-4ee886368a2d2e44-san-mateo-2008
san-mateo-2008,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008;us-san-mateo-2008-stanford-event
san-mateo-2008,papers,not-found,"Reviewed local archive, official event/results/material pages and targeted research searches; no directly verified poll-specific empirical research paper retrieved.",us-san-mateo-2008-material-7731a4ce1a2d98a7-san-mateo-2008;us-san-mateo-2008-material-583e1dd46d32ddf7-san-mateo-2008;us-san-mateo-2008-stanford-event
san-mateo-2008,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-san-mateo-2008-cdd-san-mateo-2008-survey-variables;us-san-mateo-2008-cdd-san-mateo-2008-survey-value-labels;us-san-mateo-2008-material-14f09619eb8626fc-san-mateo-2008;us-san-mateo-2008-material-e0ff5cf4f836a41b-san-mateo-2008;us-san-mateo-2008-material-9408908108592c63-san-mateo-2008;us-san-mateo-2008-material-7af1872d80219bc0-san-mateo-2008
michigan-2009,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-michigan-2009-cdd-michigan-2009-questionnaire-pre;us-michigan-2009-cdd-michigan-2009-questionnaire-post
michigan-2009,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-michigan-2009-material-d84a83e52feff108-michigan-2009;us-michigan-2009-michigan-participant-guide
michigan-2009,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-michigan-2009-material-bb554247c8bade38-michigan-2009;us-michigan-2009-stanford-event
michigan-2009,papers,not-found,"Reviewed official results, briefing documents and targeted scholar/web searches; no directly verified empirical research paper specifically analyzing this poll retrieved. Michigan AAPOR 2010 title appears in author CV but fullpaper/unambiguousversion not obtained.",us-michigan-2009-material-bb554247c8bade38-michigan-2009;us-michigan-2009-stanford-event
michigan-2009,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-michigan-2009-cdd-michigan-2009-survey-variables;us-michigan-2009-cdd-michigan-2009-survey-value-labels
california-whats-next-2011,questionnaires,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-california-whats-next-2011-cdd-california-whats-next-2011-questionnaire-pre;us-california-whats-next-2011-cdd-california-whats-next-2011-questionnaire-post
california-whats-next-2011,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-california-whats-next-2011-material-e989fb089d4108a1-california-whats-next-2011;us-california-whats-next-2011-california-participant-guide
california-whats-next-2011,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-california-whats-next-2011-material-0b2e0edeea3aca9c-california-whats-next-2011;us-california-whats-next-2011-stanford-event
california-whats-next-2011,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-california-whats-next-2011-material-5cb1d017f73d4742-california-whats-next-2011;us-california-whats-next-2011-deliberative-agenda-setting;us-california-whats-next-2011-published-agenda-setting
california-whats-next-2011,codebooks,partial,Variable/value-label dictionaries and/or shared recode documentation are available; completeness as an authored poll-specific codebook is not established.,us-california-whats-next-2011-cdd-california-whats-next-2011-survey-variables;us-california-whats-next-2011-cdd-california-whats-next-2011-survey-value-labels;us-california-whats-next-2011-cdd-california-whats-next-2011-codebook
america-in-one-room-2019,questionnaires,partial,"Methods, article and issue-result tables document questions and sample design, but a standalone full questionnaire/codebook was not verified in this pass. Follow public article replication supplements; do not treat briefing booklet as questionnaire. Harvard Dataverse DOI 10.7910/DVN/KJ8IH2 landing/API access returned 403 during this check; no claim to have inspected those files.",us-america-in-one-room-2019-material-f937811041f72f6f-america-in-one-room-2019;us-america-in-one-room-2019-material-c231aae89955d3d7-america-in-one-room-2019;us-america-in-one-room-2019-material-16c84a17f5152926-america-in-one-room-2019;us-america-in-one-room-2019-a1r-2019-norc-methods;us-america-in-one-room-2019-a1r-2019-executive-summary;us-america-in-one-room-2019-stanford-event;us-america-in-one-room-2019-apsr2021
america-in-one-room-2019,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-america-in-one-room-2019-material-96ffcf2f21674cbf-america-in-one-room-2019;us-america-in-one-room-2019-a1r-2019-briefing
america-in-one-room-2019,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-america-in-one-room-2019-material-16c84a17f5152926-america-in-one-room-2019;us-america-in-one-room-2019-a1r-2019-executive-summary;us-america-in-one-room-2019-stanford-event
america-in-one-room-2019,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-america-in-one-room-2019-material-f937811041f72f6f-america-in-one-room-2019;us-america-in-one-room-2019-apsr2021
america-in-one-room-2019,codebooks,partial,"Methods, article and issue-result tables document questions and sample design, but a standalone full questionnaire/codebook was not verified in this pass. Follow public article replication supplements; do not treat briefing booklet as questionnaire. Harvard Dataverse DOI 10.7910/DVN/KJ8IH2 landing/API access returned 403 during this check; no claim to have inspected those files.",us-america-in-one-room-2019-oos-a1r-codebook;us-america-in-one-room-2019-oos-a1r-code
a1r-climate-2021,questionnaires,partial,"Methods, article and issue-result tables document questions and sample design, but a standalone full questionnaire/codebook was not verified in this pass. Follow public article replication supplements; do not treat briefing booklet as questionnaire.",us-a1r-climate-2021-material-76ae7185d1d8b5db-a1r-climate-2021;us-a1r-climate-2021-material-c798742af8d64fbb-a1r-climate-2021;us-a1r-climate-2021-material-8373611151769a55-a1r-climate-2021;us-a1r-climate-2021-oos-climate-results;us-a1r-climate-2021-stanford-event;us-a1r-climate-2021-perspectives2025
a1r-climate-2021,briefing-materials,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-a1r-climate-2021-material-041ca9052fe2cfc6-a1r-climate-2021
a1r-climate-2021,event-reports,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-a1r-climate-2021-material-8373611151769a55-a1r-climate-2021;us-a1r-climate-2021-oos-climate-results;us-a1r-climate-2021-stanford-event
a1r-climate-2021,papers,available,Existing local source (s) and/or newly downloaded documents identified; see cited references.,us-a1r-climate-2021-material-76ae7185d1d8b5db-a1r-climate-2021;us-a1r-climate-2021-perspectives2025
a1r-climate-2021,codebooks,partial,"Methods, article and issue-result tables document questions and sample design, but a standalone full questionnaire/codebook was not verified in this pass. Follow public article replication supplements; do not treat briefing booklet as questionnaire.",us-a1r-climate-2021-material-76ae7185d1d8b5db-a1r-climate-2021;us-a1r-climate-2021-material-c798742af8d64fbb-a1r-climate-2021;us-a1r-climate-2021-material-8373611151769a55-a1r-climate-2021;us-a1r-climate-2021-oos-climate-results;us-a1r-climate-2021-stanford-event;us-a1r-climate-2021-perspectives2025
uk-crime-1994,questionnaires,available,"Reviewed local manifests, archived material titles/content and official event/research sources; availability does not establish complete wave/language coverage.",uk-crime-1994-local-material-580ac20de6f19c5c-uk-crime-1994;uk-crime-1994-download-material-580ac20de6f19c5c
uk-crime-1994,briefing-materials,available,"Reviewed local manifests, archived material titles/content and official event/research sources; availability does not establish complete wave/language coverage.",uk-crime-1994-local-material-c082c7217c856b73-uk-crime-1994;uk-crime-1994-download-material-c082c7217c856b73
uk-crime-1994,event-reports,external-only,"Reviewed local manifests, archived material titles/content and official event/research sources; availability does not establish complete wave/language coverage.",uk-crime-1994-stanford-event
uk-crime-1994,papers,available,"Reviewed local manifests, archived material titles/content and official event/research sources; availability does not establish complete wave/language coverage.",uk-crime-1994-local-material-628f37bfc90de006-uk-crime-1994;uk-crime-1994-local-material-6eaeae118f40db64-uk-crime-1994;uk-crime-1994-local-material-6180dbb6f0a7a41c-uk-crime-1994;uk-crime-1994-local-material-3d9d41d8bc592937-uk-crime-1994;uk-crime-1994-local-material-29cbe30c018c2d68-uk-crime-1994;uk-crime-1994-uk-comparative-paper;uk-crime-1994-considered-opinions
uk-crime-1994,codebooks,partial,Generated variable/value-label dictionaries available where listed; a complete fielded codebook and all missing-value/routing instructions are not thereby established.,uk-crime-1994-local-cdd-uk-crime-variables;uk-crime-1994-local-cdd-uk-crime-value-labels;uk-crime-1994-local-cdd-uk-crime-codebook
