source_row,historical_sample,historical_respondent_id,pollgroup,early_group_size,group_size,historical_gain,candidate_gain,joint_knowledge
50,TRUE,2910050,29106,13,14,0.1392857142857143,0.13846153846153847,0.2857142857142857
51,TRUE,2910051,29113,16,16,0.11666666666666667,0.11666666666666667,0.42857142857142855
52,TRUE,2910052,29112,15,15,0.05357142857142857,0.05357142857142857,0.42857142857142855
53,TRUE,2910053,29113,16,16,0.15555555555555556,0.15555555555555556,0.14285714285714285
54,TRUE,2910054,29114,16,16,0.04,0.04,0.2857142857142857
55,TRUE,2910055,29116,13,13,0.06666666666666667,0.06666666666666667,0.2857142857142857
56,TRUE,2910056,29103,11,12,0.16041666666666668,0.15909090909090906,0.42857142857142855
57,TRUE,2910057,29111,12,12,0.22727272727272727,0.22727272727272727,0.42857142857142855
58,TRUE,2910058,29107,11,12,0.19642857142857142,0.1948051948051948,0
59,TRUE,2910059,29104,11,13,0.15512820512820513,0.15277777777777776,0.14285714285714285
60,TRUE,2910060,29115,15,16,0.20089285714285712,0.19999999999999998,0
61,TRUE,2910061,29112,15,15,0.08571428571428572,0.08571428571428572,0.2857142857142857
62,TRUE,2910062,29114,16,16,0.14285714285714285,0.14285714285714285,0
63,TRUE,2910063,29106,13,14,0.07738095238095238,0.07692307692307693,0.42857142857142855
64,TRUE,2910064,29101,10,13,0.1221001221001221,0.11904761904761904,0
65,TRUE,2910065,29114,16,16,0.08888888888888889,0.08888888888888889,0.14285714285714285
66,TRUE,2910066,29110,12,13,0.15384615384615385,0.1527777777777778,0.14285714285714285
67,TRUE,2910067,29115,15,16,0.15625,0.15555555555555556,0.5714285714285714
68,TRUE,2910068,29111,12,12,0.19696969696969693,0.19696969696969693,0.14285714285714285
69,TRUE,2910069,29112,15,15,0.15476190476190477,0.15476190476190477,0.14285714285714285
70,TRUE,2910070,29114,16,16,0.14285714285714285,0.14285714285714285,0
71,TRUE,2910071,29113,16,16,0.19999999999999998,0.19999999999999998,0
72,TRUE,2910072,29103,11,12,0.16500000000000004,0.16363636363636364,0.2857142857142857
73,TRUE,2910073,29116,13,13,0.18333333333333332,0.18333333333333332,0.2857142857142857
74,TRUE,2910074,29108,14,15,0.19145299145299147,0.1904761904761905,0.14285714285714285
75,TRUE,2910075,29109,12,13,0.11748251748251748,0.11666666666666665,0.2857142857142857
76,TRUE,2910076,29112,15,15,0.16666666666666666,0.16666666666666666,0.14285714285714285
77,TRUE,2910077,29115,15,16,0.06696428571428571,0.06666666666666667,0.5714285714285714
78,TRUE,2910078,29113,16,16,0.18888888888888888,0.18888888888888888,0.14285714285714285
79,TRUE,2910079,29113,16,16,0.12000000000000001,0.12,0.2857142857142857
80,TRUE,2910080,29105,11,11,0.15,0.15,0.42857142857142855
81,TRUE,2910081,29111,12,12,0.2727272727272727,0.2727272727272727,0
82,TRUE,2910082,29106,13,14,0.1392857142857143,0.13846153846153847,0.2857142857142857
83,TRUE,2910083,29107,11,12,0.16500000000000004,0.16363636363636364,0.2857142857142857
84,TRUE,2910084,29101,10,13,0.1221001221001221,0.11904761904761904,0
85,TRUE,2910085,29107,11,12,0.19642857142857142,0.1948051948051948,0
86,TRUE,2910086,29102,10,12,0.291005291005291,0.2857142857142857,0
87,TRUE,2910087,29108,14,15,0.10051282051282052,0.1,0.2857142857142857
88,TRUE,2910088,29103,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
89,TRUE,2910089,29112,15,15,0.16666666666666666,0.16666666666666666,0.14285714285714285
90,TRUE,2910090,29104,11,13,0.05076923076923078,0.05,0.2857142857142857
91,TRUE,2910091,29114,16,16,0.08888888888888889,0.08888888888888889,0.14285714285714285
92,TRUE,2910092,29110,12,13,0.14685314685314685,0.14583333333333334,0.42857142857142855
93,TRUE,2910093,29113,16,16,0.17777777777777778,0.17777777777777778,0.14285714285714285
94,TRUE,2910094,29105,11,11,0.21666666666666667,0.21666666666666667,0.14285714285714285
95,TRUE,2910095,29116,13,13,0.06666666666666667,0.06666666666666667,0.2857142857142857
96,TRUE,2910096,29103,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
97,TRUE,2910097,29113,16,16,0.15555555555555556,0.15555555555555556,0.14285714285714285
98,TRUE,2910098,29106,13,14,0.2431972789115646,0.24175824175824176,0
99,TRUE,2910099,29113,16,16,0.19999999999999998,0.19999999999999998,0
100,TRUE,2910100,29115,15,16,0.16741071428571427,0.16666666666666666,0.14285714285714285
101,TRUE,2910101,29115,15,16,0.20089285714285712,0.19999999999999998,0
102,TRUE,2910102,29111,12,12,0.2424242424242424,0.2424242424242424,0.14285714285714285
103,TRUE,2910103,29114,16,16,0.1111111111111111,0.1111111111111111,0.14285714285714285
104,TRUE,2910104,29114,16,16,0.14285714285714285,0.14285714285714285,0
105,TRUE,2910105,29114,16,16,0.14444444444444446,0.14444444444444446,0.14285714285714285
106,TRUE,2910106,29113,16,16,0.18888888888888888,0.18888888888888888,0.14285714285714285
107,TRUE,2910107,29114,16,16,0.04,0.04,0.2857142857142857
108,TRUE,2910108,29116,13,13,0.25,0.25,0.14285714285714285
109,TRUE,2910109,29107,11,12,0.1375,0.13636363636363635,0.14285714285714285
110,TRUE,2910110,29108,14,15,0.18666666666666668,0.18571428571428572,0.2857142857142857
111,TRUE,2910111,29105,11,11,0.19999999999999998,0.19999999999999998,0.2857142857142857
112,TRUE,2910112,29106,13,14,0.07738095238095238,0.07692307692307693,0.42857142857142855
113,TRUE,2910113,29110,12,13,0.18181818181818182,0.18055555555555555,0.14285714285714285
114,TRUE,2910114,29106,13,14,0.15476190476190474,0.15384615384615383,0.14285714285714285
115,TRUE,2910115,29106,13,14,0.2431972789115646,0.24175824175824176,0
116,TRUE,2910116,29108,14,15,0.15555555555555556,0.15476190476190477,0.14285714285714285
117,TRUE,2910117,29115,15,16,0.16741071428571427,0.16666666666666666,0.14285714285714285
118,TRUE,2910118,29109,12,13,0.19580419580419578,0.19444444444444442,0.14285714285714285
119,TRUE,2910119,29112,15,15,0.15476190476190477,0.15476190476190477,0.14285714285714285
120,TRUE,2910120,29113,16,16,0.17777777777777778,0.17777777777777778,0.14285714285714285
121,TRUE,2910121,29115,15,16,0.20089285714285712,0.19999999999999998,0
122,TRUE,2910122,29115,15,16,0.20089285714285712,0.19999999999999998,0
123,TRUE,2910123,29116,13,13,0.06666666666666667,0.06666666666666667,0.2857142857142857
124,TRUE,2910124,29101,10,13,0.1221001221001221,0.11904761904761904,0
125,TRUE,2910125,29102,10,12,0.2777777777777778,0.2727272727272727,0.14285714285714285
126,TRUE,2910126,29104,11,13,0.15714285714285714,0.15476190476190474,0
127,TRUE,2910127,29114,16,16,0.14285714285714285,0.14285714285714285,0
128,TRUE,2910128,29105,11,11,0.2833333333333333,0.2833333333333333,0.14285714285714285
129,TRUE,2910129,29109,12,13,0.18181818181818182,0.18055555555555555,0.14285714285714285
130,TRUE,2910130,29104,11,13,0.04230769230769232,0.041666666666666664,0.42857142857142855
131,TRUE,2910131,29110,12,13,0.21578421578421578,0.21428571428571427,0
132,TRUE,2910132,29111,12,12,0.19696969696969693,0.19696969696969693,0.14285714285714285
133,TRUE,2910133,29112,15,15,0.21428571428571427,0.21428571428571427,0.14285714285714285
134,TRUE,2910134,29102,10,12,0.16666666666666669,0.16363636363636364,0.2857142857142857
135,TRUE,2910135,29104,11,13,0.15714285714285714,0.15476190476190474,0
136,TRUE,2910136,29109,12,13,0.23976023976023975,0.23809523809523808,0
137,TRUE,2910137,29103,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
138,TRUE,2910138,29105,11,11,0.19999999999999998,0.19999999999999998,0.2857142857142857
139,TRUE,2910139,29110,12,13,0.1006993006993007,0.1,0.2857142857142857
140,TRUE,2910140,29108,14,15,0.15555555555555556,0.15476190476190477,0.14285714285714285
141,TRUE,2910141,29106,13,14,0.2431972789115646,0.24175824175824176,0
142,TRUE,2910142,29109,12,13,0.2517482517482518,0.25,0.14285714285714285
143,TRUE,2910143,29104,11,13,0.15512820512820513,0.15277777777777776,0.14285714285714285
144,TRUE,2910144,29113,16,16,0.15555555555555556,0.15555555555555556,0.14285714285714285
145,TRUE,2910145,29115,15,16,0.044642857142857144,0.044444444444444446,0.5714285714285714
146,TRUE,2910146,29104,11,13,0.09871794871794873,0.09722222222222222,0.14285714285714285
147,TRUE,2910147,29104,11,13,0.05076923076923078,0.05,0.2857142857142857
148,TRUE,2910148,29116,13,13,0.06666666666666667,0.06666666666666667,0.2857142857142857
149,TRUE,2910149,29110,12,13,0.15384615384615385,0.1527777777777778,0.14285714285714285
150,TRUE,2910150,29102,10,12,0.2777777777777778,0.2727272727272727,0.14285714285714285
151,TRUE,2910151,29112,15,15,0.2261904761904762,0.2261904761904762,0.14285714285714285
152,TRUE,2910152,29108,14,15,0.15555555555555556,0.15476190476190477,0.14285714285714285
153,TRUE,2910153,29112,15,15,0.16666666666666666,0.16666666666666666,0.14285714285714285
154,TRUE,2910154,29105,11,11,0.19999999999999998,0.19999999999999998,0.2857142857142857
155,TRUE,2910155,29102,10,12,0.2314814814814815,0.22727272727272727,0.14285714285714285
156,TRUE,2910156,29101,10,13,0.10256410256410257,0.1,0.2857142857142857
157,TRUE,2910157,29110,12,13,0.18181818181818182,0.18055555555555555,0.14285714285714285
158,TRUE,2910158,29102,10,12,0.11574074074074076,0.11363636363636365,0.42857142857142855
159,TRUE,2910159,29103,11,12,0.22261904761904763,0.22077922077922077,0
160,TRUE,2910160,29109,12,13,0.18181818181818182,0.18055555555555555,0.14285714285714285
161,TRUE,2910161,29102,10,12,0.11574074074074076,0.11363636363636365,0.42857142857142855
162,TRUE,2910162,29115,15,16,0.20089285714285712,0.19999999999999998,0
163,TRUE,2910163,29105,11,11,0.15,0.15,0.42857142857142855
164,TRUE,2910164,29111,12,12,0.14545454545454545,0.14545454545454545,0.2857142857142857
165,TRUE,2910165,29116,13,13,0.18055555555555558,0.18055555555555558,0.14285714285714285
166,TRUE,2910166,29107,11,12,0.1375,0.13636363636363635,0.14285714285714285
167,TRUE,2910167,29107,11,12,0.19642857142857142,0.1948051948051948,0
168,TRUE,2910168,29109,12,13,0.1888111888111888,0.1875,0.42857142857142855
169,TRUE,2910169,29108,14,15,0.22564102564102567,0.22448979591836737,0
170,TRUE,2910170,29114,16,16,0.08888888888888889,0.08888888888888889,0.14285714285714285
171,TRUE,2910171,29115,15,16,0.20089285714285712,0.19999999999999998,0
172,TRUE,2910172,29113,16,16,0.12000000000000001,0.12,0.2857142857142857
173,TRUE,2910173,29115,15,16,0.20089285714285712,0.19999999999999998,0
174,TRUE,2910174,29116,13,13,0.16666666666666666,0.16666666666666666,0.14285714285714285
175,TRUE,2910175,29109,12,13,0.10489510489510488,0.10416666666666666,0.42857142857142855
176,TRUE,2910176,29103,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
177,TRUE,2910177,29112,15,15,0.07142857142857142,0.07142857142857142,0.5714285714285714
178,TRUE,2910178,29102,10,12,0.291005291005291,0.2857142857142857,0
179,TRUE,2910179,29105,11,11,0.27142857142857146,0.27142857142857146,0
180,TRUE,2910180,29108,14,15,0.22564102564102567,0.22448979591836737,0
181,TRUE,2910181,29103,11,12,0.16500000000000004,0.16363636363636364,0.2857142857142857
182,TRUE,2910182,29104,11,13,0.09871794871794873,0.09722222222222222,0.14285714285714285
183,TRUE,2910183,29105,11,11,0.12499999999999997,0.12499999999999999,0.42857142857142855
184,TRUE,2910184,29107,11,12,0.19642857142857142,0.1948051948051948,0
185,TRUE,2910185,29108,14,15,0.15555555555555556,0.15476190476190477,0.14285714285714285
186,TRUE,2910186,29110,12,13,0.21578421578421578,0.21428571428571427,0
187,TRUE,2910187,29111,12,12,0.14545454545454545,0.14545454545454545,0.2857142857142857
188,TRUE,2910188,29112,15,15,0.14285714285714285,0.14285714285714285,0.2857142857142857
189,TRUE,2910189,29113,16,16,0.08333333333333333,0.08333333333333333,0.42857142857142855
190,TRUE,2910190,29101,10,13,0.06837606837606838,0.06666666666666667,0.2857142857142857
191,TRUE,2910191,29111,12,12,0.2424242424242424,0.2424242424242424,0.14285714285714285
192,TRUE,2910192,29115,15,16,0.06696428571428571,0.06666666666666667,0.42857142857142855
193,TRUE,2910193,29116,13,13,0.16666666666666666,0.16666666666666666,0.14285714285714285
194,TRUE,2910194,29113,16,16,0.12000000000000001,0.12,0.2857142857142857
195,TRUE,2910195,29106,13,14,0.10833333333333335,0.10769230769230771,0.2857142857142857
196,TRUE,2910196,29114,16,16,0.1111111111111111,0.1111111111111111,0.14285714285714285
197,TRUE,2910197,29115,15,16,0.06696428571428571,0.06666666666666667,0.42857142857142855
198,TRUE,2910198,29112,15,15,0.21428571428571427,0.21428571428571427,0
199,TRUE,2910199,29116,13,13,0.16666666666666669,0.16666666666666669,0.2857142857142857
200,TRUE,2910200,29110,12,13,0.14685314685314685,0.14583333333333334,0.42857142857142855
201,TRUE,2910201,29111,12,12,0.14545454545454545,0.14545454545454545,0.2857142857142857
202,TRUE,2910202,29107,11,12,0.06875,0.06818181818181818,0.42857142857142855
203,TRUE,2910203,29101,10,13,0.09971509971509972,0.09722222222222221,0.14285714285714285
204,TRUE,2910204,29115,15,16,0.20089285714285712,0.19999999999999998,0
205,TRUE,2910205,29101,10,13,0.1221001221001221,0.11904761904761904,0
206,TRUE,2910206,29103,11,12,0.16805555555555557,0.16666666666666666,0.14285714285714285
207,TRUE,2910207,29104,11,13,0.09871794871794873,0.09722222222222222,0.14285714285714285
208,TRUE,2910208,29106,13,14,0.1392857142857143,0.13846153846153847,0.2857142857142857
209,TRUE,2910209,29110,12,13,0.21578421578421578,0.21428571428571427,0
210,TRUE,2910210,29107,11,12,0.06875,0.06818181818181818,0.42857142857142855
211,TRUE,2910211,29101,10,13,0.1221001221001221,0.11904761904761904,0
212,TRUE,2910212,29104,11,13,0.12692307692307694,0.125,0.14285714285714285
213,TRUE,2910213,29102,10,12,0,0,0.7142857142857143
214,TRUE,2910214,29109,12,13,0.18181818181818182,0.18055555555555555,0.14285714285714285
215,TRUE,2910215,29108,14,15,0.10051282051282052,0.1,0.2857142857142857
216,TRUE,2910216,29102,10,12,0.16666666666666669,0.16363636363636364,0.2857142857142857
217,FALSE,NA,NA,NA,NA,NA,NA,0
218,FALSE,NA,NA,NA,NA,NA,NA,0
219,FALSE,NA,NA,NA,NA,NA,NA,0
220,FALSE,NA,NA,NA,NA,NA,NA,0
221,FALSE,NA,NA,NA,NA,NA,NA,0
222,FALSE,NA,NA,NA,NA,NA,NA,0
223,FALSE,NA,NA,NA,NA,NA,NA,0
224,FALSE,NA,NA,NA,NA,NA,NA,0
225,FALSE,NA,NA,NA,NA,NA,NA,0
226,FALSE,NA,NA,NA,NA,NA,NA,0
227,FALSE,NA,NA,NA,NA,NA,NA,0
228,FALSE,NA,NA,NA,NA,NA,NA,0
229,FALSE,NA,NA,NA,NA,NA,NA,0
230,FALSE,NA,NA,NA,NA,NA,NA,0
231,FALSE,NA,NA,NA,NA,NA,NA,0
232,FALSE,NA,NA,NA,NA,NA,NA,0
233,FALSE,NA,NA,NA,NA,NA,NA,0
234,FALSE,NA,NA,NA,NA,NA,NA,0
235,FALSE,NA,NA,NA,NA,NA,NA,0
236,FALSE,NA,NA,NA,NA,NA,NA,0
237,FALSE,NA,NA,NA,NA,NA,NA,0
238,FALSE,NA,NA,NA,NA,NA,NA,0
239,FALSE,NA,NA,NA,NA,NA,NA,0
240,FALSE,NA,NA,NA,NA,NA,NA,0
241,FALSE,NA,NA,NA,NA,NA,NA,0
242,FALSE,NA,NA,NA,NA,NA,NA,0
243,FALSE,NA,NA,NA,NA,NA,NA,0
244,FALSE,NA,NA,NA,NA,NA,NA,0
245,FALSE,NA,NA,NA,NA,NA,NA,0
246,FALSE,NA,NA,NA,NA,NA,NA,0
247,FALSE,NA,NA,NA,NA,NA,NA,0
248,FALSE,NA,NA,NA,NA,NA,NA,0
249,FALSE,NA,NA,NA,NA,NA,NA,0
250,FALSE,NA,NA,NA,NA,NA,NA,0
251,FALSE,NA,NA,NA,NA,NA,NA,0
252,FALSE,NA,NA,NA,NA,NA,NA,0
253,FALSE,NA,NA,NA,NA,NA,NA,0
254,FALSE,NA,NA,NA,NA,NA,NA,0
255,FALSE,NA,NA,NA,NA,NA,NA,0
256,FALSE,NA,NA,NA,NA,NA,NA,0
257,FALSE,NA,NA,NA,NA,NA,NA,0
258,FALSE,NA,NA,NA,NA,NA,NA,0
259,FALSE,NA,NA,NA,NA,NA,NA,0
260,FALSE,NA,NA,NA,NA,NA,NA,0
261,FALSE,NA,NA,NA,NA,NA,NA,0
262,FALSE,NA,NA,NA,NA,NA,NA,0
263,FALSE,NA,NA,NA,NA,NA,NA,0
264,FALSE,NA,NA,NA,NA,NA,NA,0
265,FALSE,NA,NA,NA,NA,NA,NA,0
266,FALSE,NA,NA,NA,NA,NA,NA,0
267,FALSE,NA,NA,NA,NA,NA,NA,0
268,FALSE,NA,NA,NA,NA,NA,NA,0
269,FALSE,NA,NA,NA,NA,NA,NA,0
270,FALSE,NA,NA,NA,NA,NA,NA,0
271,FALSE,NA,NA,NA,NA,NA,NA,0
272,FALSE,NA,NA,NA,NA,NA,NA,0
273,FALSE,NA,NA,NA,NA,NA,NA,0
274,FALSE,NA,NA,NA,NA,NA,NA,0
275,FALSE,NA,NA,NA,NA,NA,NA,0
276,FALSE,NA,NA,NA,NA,NA,NA,0
277,FALSE,NA,NA,NA,NA,NA,NA,0
278,FALSE,NA,NA,NA,NA,NA,NA,0
279,FALSE,NA,NA,NA,NA,NA,NA,0
280,FALSE,NA,NA,NA,NA,NA,NA,0
281,FALSE,NA,NA,NA,NA,NA,NA,0
282,FALSE,NA,NA,NA,NA,NA,NA,0
283,FALSE,NA,NA,NA,NA,NA,NA,0
284,FALSE,NA,NA,NA,NA,NA,NA,0
285,FALSE,NA,NA,NA,NA,NA,NA,0
286,FALSE,NA,NA,NA,NA,NA,NA,0
287,FALSE,NA,NA,NA,NA,NA,NA,0
288,FALSE,NA,NA,NA,NA,NA,NA,0
289,FALSE,NA,NA,NA,NA,NA,NA,0
290,FALSE,NA,NA,NA,NA,NA,NA,0
291,FALSE,NA,NA,NA,NA,NA,NA,0
292,FALSE,NA,NA,NA,NA,NA,NA,0
293,FALSE,NA,NA,NA,NA,NA,NA,0
294,FALSE,NA,NA,NA,NA,NA,NA,0
295,FALSE,NA,NA,NA,NA,NA,NA,0
296,FALSE,NA,NA,NA,NA,NA,NA,0
297,FALSE,NA,NA,NA,NA,NA,NA,0
298,FALSE,NA,NA,NA,NA,NA,NA,0
299,FALSE,NA,NA,NA,NA,NA,NA,0
300,FALSE,NA,NA,NA,NA,NA,NA,0
301,FALSE,NA,NA,NA,NA,NA,NA,0
302,FALSE,NA,NA,NA,NA,NA,NA,0
303,FALSE,NA,NA,NA,NA,NA,NA,0
304,FALSE,NA,NA,NA,NA,NA,NA,0
305,FALSE,NA,NA,NA,NA,NA,NA,0
306,FALSE,NA,NA,NA,NA,NA,NA,0
307,FALSE,NA,NA,NA,NA,NA,NA,0
308,FALSE,NA,NA,NA,NA,NA,NA,0
309,FALSE,NA,NA,NA,NA,NA,NA,0
310,FALSE,NA,NA,NA,NA,NA,NA,0
311,FALSE,NA,NA,NA,NA,NA,NA,0
312,FALSE,NA,NA,NA,NA,NA,NA,0
313,FALSE,NA,NA,NA,NA,NA,NA,0
314,FALSE,NA,NA,NA,NA,NA,NA,0
315,FALSE,NA,NA,NA,NA,NA,NA,0
316,FALSE,NA,NA,NA,NA,NA,NA,0
317,FALSE,NA,NA,NA,NA,NA,NA,0
318,FALSE,NA,NA,NA,NA,NA,NA,0
319,FALSE,NA,NA,NA,NA,NA,NA,0
320,FALSE,NA,NA,NA,NA,NA,NA,0
321,FALSE,NA,NA,NA,NA,NA,NA,0
322,FALSE,NA,NA,NA,NA,NA,NA,0
323,FALSE,NA,NA,NA,NA,NA,NA,0
324,FALSE,NA,NA,NA,NA,NA,NA,0
325,FALSE,NA,NA,NA,NA,NA,NA,0
326,FALSE,NA,NA,NA,NA,NA,NA,0
327,FALSE,NA,NA,NA,NA,NA,NA,0
328,FALSE,NA,NA,NA,NA,NA,NA,0
329,FALSE,NA,NA,NA,NA,NA,NA,0
330,FALSE,NA,NA,NA,NA,NA,NA,0
331,FALSE,NA,NA,NA,NA,NA,NA,0
332,FALSE,NA,NA,NA,NA,NA,NA,0
333,FALSE,NA,NA,NA,NA,NA,NA,0
334,FALSE,NA,NA,NA,NA,NA,NA,0
335,FALSE,NA,NA,NA,NA,NA,NA,0
336,FALSE,NA,NA,NA,NA,NA,NA,0
337,FALSE,NA,NA,NA,NA,NA,NA,0
338,FALSE,NA,NA,NA,NA,NA,NA,0
339,FALSE,NA,NA,NA,NA,NA,NA,0
340,FALSE,NA,NA,NA,NA,NA,NA,0
341,FALSE,NA,NA,NA,NA,NA,NA,0
342,FALSE,NA,NA,NA,NA,NA,NA,0
343,FALSE,NA,NA,NA,NA,NA,NA,0
344,FALSE,NA,NA,NA,NA,NA,NA,0
345,FALSE,NA,NA,NA,NA,NA,NA,0
346,FALSE,NA,NA,NA,NA,NA,NA,0
347,FALSE,NA,NA,NA,NA,NA,NA,0
348,FALSE,NA,NA,NA,NA,NA,NA,0
349,FALSE,NA,NA,NA,NA,NA,NA,0
350,FALSE,NA,NA,NA,NA,NA,NA,0
351,FALSE,NA,NA,NA,NA,NA,NA,0
352,FALSE,NA,NA,NA,NA,NA,NA,0
353,FALSE,NA,NA,NA,NA,NA,NA,0
354,FALSE,NA,NA,NA,NA,NA,NA,0
355,FALSE,NA,NA,NA,NA,NA,NA,0
356,FALSE,NA,NA,NA,NA,NA,NA,0
357,FALSE,NA,NA,NA,NA,NA,NA,0
358,FALSE,NA,NA,NA,NA,NA,NA,0
359,FALSE,NA,NA,NA,NA,NA,NA,0
360,FALSE,NA,NA,NA,NA,NA,NA,0
361,FALSE,NA,NA,NA,NA,NA,NA,0
362,FALSE,NA,NA,NA,NA,NA,NA,0
363,FALSE,NA,NA,NA,NA,NA,NA,0
364,FALSE,NA,NA,NA,NA,NA,NA,0
365,FALSE,NA,NA,NA,NA,NA,NA,0
366,FALSE,NA,NA,NA,NA,NA,NA,0
367,FALSE,NA,NA,NA,NA,NA,NA,0
368,FALSE,NA,NA,NA,NA,NA,NA,0
369,FALSE,NA,NA,NA,NA,NA,NA,0
370,FALSE,NA,NA,NA,NA,NA,NA,0
371,FALSE,NA,NA,NA,NA,NA,NA,0
372,FALSE,NA,NA,NA,NA,NA,NA,0
373,FALSE,NA,NA,NA,NA,NA,NA,0
374,FALSE,NA,NA,NA,NA,NA,NA,0
375,FALSE,NA,NA,NA,NA,NA,NA,0
376,FALSE,NA,NA,NA,NA,NA,NA,0
377,FALSE,NA,NA,NA,NA,NA,NA,0
378,FALSE,NA,NA,NA,NA,NA,NA,0
379,FALSE,NA,NA,NA,NA,NA,NA,0
380,FALSE,NA,NA,NA,NA,NA,NA,0
381,FALSE,NA,NA,NA,NA,NA,NA,0
382,FALSE,NA,NA,NA,NA,NA,NA,0
383,FALSE,NA,NA,NA,NA,NA,NA,0
384,FALSE,NA,NA,NA,NA,NA,NA,0
385,FALSE,NA,NA,NA,NA,NA,NA,0
386,FALSE,NA,NA,NA,NA,NA,NA,0
387,FALSE,NA,NA,NA,NA,NA,NA,0
388,FALSE,NA,NA,NA,NA,NA,NA,0
